domain,site_id,source_name,country,region,region_code,source_type,layer,priority_tier,ownership_type,geo_alignment,political_leaning,credibility_tier,label_confidence,evidence_url,evidence_note,review_status,article_count_snapshot,profile_version,updated_at
abc.es,abc_es,ABC,Spain,europe,EU,national_major_media,media_narrative,P1,private,western,right,high,high,https://ground.news/interest/abc_52916d,seeded_from_historical_wave1_targets; ground_news_rating_v1: Ground News lists ABC Spain as Right and High factuality; review_import: ownership_round2: ABC Spain ownership mapped to private commercial media; secondary_evidence=https://en.wikipedia.org/wiki/ABC_(newspaper); reviewer=codex; reviewed_at=2026-06-26,reviewed,735,media_profile_seed_v1,2026-06-26 12:56:24.237179+00:00
afp.com,afp_global,AFP,France,global,GL,wire_service,wire_fast,P0,wire_service,western,center,high,high,https://mediabiasfactcheck.com/agence-france-presse-afp/,seeded_from_historical_wave1_targets; ownership inferred structurally from source_type=wire_service; structural_review_v1: wire service credibility seed; political leaning requires external rating; mbfc_rating_v1: Media Bias/Fact Check lists AFP as Least Biased and High factuality,reviewed,83,media_profile_seed_v1,2026-06-26 12:27:17.857632+00:00
africanews.com,africanews,Africanews,International,africa,AF,regional_major_media,media_narrative,P1,private,global_south,center_left,high,high,https://ground.news/interest/africa-news,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label; ground_news_rating_v1: Ground News lists Africa News as Lean Left and High factuality; review_import: ownership_round2: Africanews ownership mapped to private commercial media; secondary_evidence=https://en.wikipedia.org/wiki/Africanews; reviewer=codex; reviewed_at=2026-06-26,reviewed,1938,media_profile_seed_v1,2026-06-26 12:56:24.237106+00:00
aljazeera.net,aljazeera_net,Al Jazeera,Qatar,middle_east,ME,global_major_media,media_narrative,P0,state,middle_east,state_aligned,medium,medium,https://www.aljazeera.com/about-us,"seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label; institutional_override_v1: Al Jazeera says it is funded in part by the Qatari government; state_aligned is institutional, not a left/right rating",reviewed,26680,media_profile_seed_v1,2026-06-26 12:27:17.876415+00:00
ansa.it,ansa_it,ANSA,Italy,europe,EU,wire_service,wire_fast,P0,wire_service,western,center,high,high,https://ground.news/interest/ansa,seeded_from_historical_wave1_targets; ownership inferred structurally from source_type=wire_service; structural_review_v1: wire service credibility seed; political leaning requires external rating; ground_news_rating_v1: Ground News lists ANSA as Center and High factuality,reviewed,2115,media_profile_seed_v1,2026-06-26 12:27:17.858264+00:00
apnews.com,ap_world,AP News,United States,global,GL,wire_service,wire_fast,P0,wire_service,western,center_left,high,high,https://ground.news/interest/associated-press-news,seeded_from_historical_wave1_targets; ownership inferred structurally from source_type=wire_service; structural_review_v1: wire service credibility seed; political leaning requires external rating; ground_news_rating_v1: Ground News lists Associated Press News as Lean Left and Very High factuality,reviewed,7256,media_profile_seed_v1,2026-06-26 12:27:17.842216+00:00
arabnews.com,arab_news,Arab News,Saudi Arabia,middle_east,ME,national_major_media,media_narrative,P1,private,middle_east,center_right,medium,high,https://ground.news/interest/arab-news_02f792,seeded_from_historical_wave1_targets; ground_news_rating_v1: Ground News lists Arab News as Lean Right and Mixed factuality; review_import: ownership_round2: Arab News ownership mapped to private commercial media; secondary_evidence=https://en.wikipedia.org/wiki/Arab_News; reviewer=codex; reviewed_at=2026-06-26,reviewed,741,media_profile_seed_v1,2026-06-26 12:56:24.237172+00:00
arynews.tv,arynews_tv,ARY News,Pakistan,south_asia,SA,national_major_media,media_narrative,P1,private,global_south,center_right,medium,medium,https://mediabiasfactcheck.com/ary-news-bias-and-credibility/,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label; review_import: rating_round2: MBFC rates ARY Right-Center and Mostly Factual with medium credibility; ownership_round2: same report lists commercial ARY Group ownership; secondary_evidence=https://mediabiasfactcheck.com/ary-news-bias-and-credibility/; reviewer=codex; reviewed_at=2026-06-26,reviewed,419,media_profile_seed_v1,2026-06-26 12:56:24.237201+00:00
asahi.com,asahi_com,The Asahi Shimbun,Japan,asia,AS,national_major_media,media_narrative,P0,private,western,center_left,high,high,https://ground.news/interest/asahi,seeded_from_historical_wave1_targets; ground_news_rating_v1: Ground News lists Asahi as Lean Left and High factuality; review_import: ownership_round2: Asahi ownership mapped to private commercial media; secondary_evidence=https://en.wikipedia.org/wiki/The_Asahi_Shimbun; reviewer=codex; reviewed_at=2026-06-26,reviewed,167,media_profile_seed_v1,2026-06-26 12:56:24.237251+00:00
asiaone.com,asiaone_com,AsiaOne,Singapore,asia,AS,regional_major_media,media_narrative,P1,private,global_south,unknown,unknown,low,http://www.asiaone.com,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label; review_import: ownership_round2: AsiaOne operated as joint venture between mm2 Asia and SPH Media; bias and factuality still lack exact third-party rating; secondary_evidence=https://en.wikipedia.org/wiki/AsiaOne; reviewer=codex; reviewed_at=2026-06-26,needs_review,18457,media_profile_seed_v1,2026-06-26 12:56:24.236960+00:00
bangkokbiznews.com,bangkokbiznews_com,Bangkok Biz News,Thailand,asia,AS,national_major_media,media_narrative,P1,private,global_south,unknown,unknown,low,http://www.bangkokbiznews.com,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label; review_import: ownership_round2: Nation Group commercial media ownership; bias and factuality still lack exact third-party rating; secondary_evidence=https://en.wikipedia.org/wiki/Nation_Group; reviewer=codex; reviewed_at=2026-06-26,needs_review,26905,media_profile_seed_v1,2026-06-26 12:56:24.236862+00:00
bangkokpost.com,bangkok_post,Bangkok Post,Thailand,asia,AS,national_major_media,media_narrative,P1,private,global_south,center_right,medium,high,https://ground.news/interest/bangkok-post,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label; ground_news_rating_v1: Ground News lists Bangkok Post as Lean Right and Mixed factuality; review_import: ownership_round2: Bangkok Post corporate board/company page used for private commercial media mapping; secondary_evidence=https://www.bangkokpost.co.th/corporate_info/board; reviewer=codex; reviewed_at=2026-06-26,reviewed,1182,media_profile_seed_v1,2026-06-26 12:56:24.237147+00:00
bbc.com,bbc_com,BBC,United Kingdom,global,GL,global_major_media,media_narrative,P0,public,western,center,high,high,https://ground.news/interest/bbc-news_bf95f4,seeded_from_historical_wave1_targets; ground_news_rating_v1: Ground News lists BBC News as Center and Very High factuality,reviewed,26605,media_profile_seed_v1,2026-06-26 12:27:17.845840+00:00
bisnis.com,bisnis_com,Bisnis,Indonesia,asia,AS,national_major_media,media_narrative,P1,private,global_south,unknown,unknown,low,http://www.bisnis.com,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label; review_import: ownership_round2: Bisnis Indonesia commercial ownership mapped to private; bias and factuality still lack exact third-party rating; secondary_evidence=https://en.wikipedia.org/wiki/Bisnis_Indonesia; reviewer=codex; reviewed_at=2026-06-26,needs_review,99,media_profile_seed_v1,2026-06-26 12:56:24.237283+00:00
bloomberg.com,bloomberg_politics,Bloomberg,United States,global,GL,business_media,media_narrative,P1,private,western,center_left,high,high,https://ground.news/interest/bloomberg,seeded_from_historical_wave1_targets; ground_news_rating_v1: Ground News lists Bloomberg as Lean Left and Very High factuality,reviewed,24815,media_profile_seed_v1,2026-06-26 12:27:17.846607+00:00
bundesregierung.de,bundesregierung_de,German Federal Government,Germany,europe,EU,executive_government,official_direct,P1,government,western,state_aligned,medium,medium,https://www.bundesregierung.de,seeded_from_historical_wave1_targets; ownership inferred structurally from source_type=executive_government; structural_review_v1: official/intergovernmental source treated as institutional state_aligned; credibility remains medium pending external factuality rating,reviewed,909,media_profile_seed_v1,2026-06-26 11:41:11.086662+00:00
