site_id,url,domain,seed_tier,seed_type,layer,priority_tier,region,source_type,signal_role,notes
asahi_com,https://www.asahi.com/politics/?iref=pc_gnavi,asahi.com,A,national_media,media_narrative,P0,asia,national_major_media,narrative_and_agenda,top Japanese daily
channelnewsasia_com,http://www.channelnewsasia.com/latest-news,channelnewsasia.com,A,regional_media,media_narrative,P0,asia,regional_major_media,narrative_and_agenda,excellent Southeast Asia and China coverage
freemalaysiatoday_com,http://www.freemalaysiatoday.com/news,freemalaysiatoday.com,A,national_media,media_narrative,P0,asia,national_major_media,narrative_and_agenda,high update frequency
inquirer_net,https://newsinfo.inquirer.net/,inquirer.net,A,national_media,media_narrative,P0,asia,national_major_media,narrative_and_agenda,major Philippines source
nikkei_com,https://www.nikkei.com/world/,nikkei.com,A,national_media,media_narrative,P0,asia,national_major_media,narrative_and_agenda,use politics and Asia sections rather than current URL
scmp_com,http://www.scmp.com/news/china/military,scmp.com,A,regional_media,media_narrative,P0,asia,regional_major_media,narrative_and_agenda,top source for China and region
straitstimes_com,http://www.straitstimes.com/world,straitstimes.com,A,national_media,media_narrative,P0,asia,national_major_media,narrative_and_agenda,top Singapore source
thejakartapost_com,http://www.thejakartapost.com/world,thejakartapost.com,A,national_media,media_narrative,P0,asia,national_major_media,narrative_and_agenda,top Indonesia English source
vnexpress_net,http://vnexpress.net/tin-tuc-24h,vnexpress.net,A,national_media,media_narrative,P0,asia,national_major_media,narrative_and_agenda,top Vietnam source
yomiuri_co_jp,http://www.yomiuri.co.jp/politics/,yomiuri.co.jp,A,national_media,media_narrative,P0,asia,national_major_media,narrative_and_agenda,top Japanese daily
zaobao_com,http://www.zaobao.com/news,zaobao.com,A,regional_media,media_narrative,P0,asia,regional_major_media,narrative_and_agenda,key Chinese language regional source
abc_net_au,http://www.abc.net.au/news/justin,abc.net.au,A,major_media,media_narrative,P0,asia_pacific,public_broadcaster,narrative_and_agenda,public broadcaster with strong Asia coverage
rnz_co_nz,https://www.rnz.co.nz/news/world,rnz.co.nz,A,major_media,media_narrative,P0,asia_pacific,public_broadcaster,narrative_and_agenda,high quality New Zealand source
smh_com_au,https://www.smh.com.au/world/north-america,smh.com.au,A,national_media,media_narrative,P0,asia_pacific,national_major_media,narrative_and_agenda,major Australia paper
theage_com_au,http://www.theage.com.au/world/north-america,theage.com.au,A,national_media,media_narrative,P0,asia_pacific,national_major_media,narrative_and_agenda,major Australia paper
elmundo_es,https://www.elmundo.es/internacional.html,elmundo.es,A,national_media,media_narrative,P0,europe,national_major_media,narrative_and_agenda,major Spanish daily
elpais_com,https://elpais.com/internacional/,elpais.com,A,national_media,media_narrative,P0,europe,national_major_media,narrative_and_agenda,major Spanish global desk
faz_net,https://www.faz.net/aktuell/politik/,faz.net,A,national_media,media_narrative,P0,europe,national_major_media,narrative_and_agenda,major German paper
lefigaro_fr,https://www.lefigaro.fr/international,lefigaro.fr,A,national_media,media_narrative,P0,europe,national_major_media,narrative_and_agenda,major French daily
rtve_es,http://www.rtve.es/noticias/ultimas-noticias/,rtve.es,A,major_media,media_narrative,P0,europe,public_broadcaster,narrative_and_agenda,public broadcaster with broad coverage
theguardian_com,https://www.theguardian.com/world,theguardian.com,A,major_media,media_narrative,P0,europe,global_major_media,narrative_and_agenda,major global coverage
bbc_com,https://www.bbc.com/news,bbc.com,A,major_media,media_narrative,P0,global,global_major_media,narrative_and_agenda,high quality global coverage
lanacion_com_ar,http://www.lanacion.com.ar/politica/,lanacion.com.ar,A,national_media,media_narrative,P0,latin_america,national_major_media,narrative_and_agenda,major Argentina source
aljazeera_net,https://www.aljazeera.net/news/,aljazeera.net,A,major_media,media_narrative,P0,middle_east,global_major_media,narrative_and_agenda,major source for Middle East coverage
haaretz_com,https://www.haaretz.com/israel-news/israel-security,haaretz.com,A,national_media,media_narrative,P0,middle_east,national_major_media,narrative_and_agenda,high value for Israel coverage
hurriyetdailynews_com,https://www.hurriyetdailynews.com/world/,hurriyetdailynews.com,A,national_media,media_narrative,P0,middle_east,national_major_media,narrative_and_agenda,English Turkey source
jpost_com,https://www.jpost.com/israel-news,jpost.com,A,national_media,media_narrative,P0,middle_east,national_major_media,narrative_and_agenda,major English Israel source
ynetnews_com,https://www.ynetnews.com/category/9733,ynetnews.com,A,national_media,media_narrative,P0,middle_east,national_major_media,narrative_and_agenda,major Israel English source
cbc_ca,http://www.cbc.ca/news/world,cbc.ca,A,major_media,media_narrative,P0,north_america,public_broadcaster,narrative_and_agenda,high quality public broadcaster
cbsnews_com,http://www.cbsnews.com/world/,cbsnews.com,A,major_media,media_narrative,P0,north_america,global_major_media,narrative_and_agenda,strong general international coverage
latimes_com,https://www.latimes.com/politics,latimes.com,A,national_media,media_narrative,P0,north_america,national_major_media,narrative_and_agenda,major US paper
npr_org,http://www.npr.org/sections/news/,npr.org,A,major_media,media_narrative,P0,north_america,public_broadcaster,narrative_and_agenda,strong international reporting
theglobeandmail_com,http://www.theglobeandmail.com/world/,theglobeandmail.com,A,national_media,media_narrative,P0,north_america,national_major_media,narrative_and_agenda,major Canada source
dawnnews_tv,https://www.dawnnews.tv/pakistan,dawnnews.tv,A,national_media,media_narrative,P0,south_asia,national_major_media,narrative_and_agenda,important Pakistan source
geo_tv,https://www.geo.tv/latest-news,geo.tv,A,national_media,media_narrative,P0,south_asia,national_major_media,narrative_and_agenda,high volume Pakistan source
hindustantimes_com,https://www.hindustantimes.com/world-news,hindustantimes.com,A,national_media,media_narrative,P0,south_asia,national_major_media,narrative_and_agenda,major India source
prothomalo_com,https://www.prothomalo.com/world,prothomalo.com,A,national_media,media_narrative,P0,south_asia,national_major_media,narrative_and_agenda,major Bangladesh source
timesofindia_indiatimes_com,https://timesofindia.indiatimes.com/world/rest-of-world,timesofindia.indiatimes.com,A,national_media,media_narrative,P0,south_asia,national_major_media,narrative_and_agenda,high volume India source
african_union,https://au.int/en/happening,au.int,A,official,official_direct,P1,africa,international_organization,official_position,official African Union news and press releases
ecowas_news,https://www.ecowas.int/,ecowas.int,A,official,official_direct,P1,africa,international_organization,official_position,official West African regional organization news and communiques
ethiopia_mfa,https://mfa.gov.et/news,mfa.gov.et,A,official,official_direct,P1,africa,foreign_ministry,official_position,official Ethiopia foreign ministry news
kenya_mfa,https://mfa.go.ke/allnews,mfa.go.ke,A,official,official_direct,P1,africa,foreign_ministry,official_position,official Kenya foreign affairs news and diplomacy updates
nigeria_mfa,https://foreignaffairs.gov.ng/news/latest-news/,foreignaffairs.gov.ng,A,official,official_direct,P1,africa,foreign_ministry,official_position,official Nigeria foreign ministry news and press releases
southafrica_dirco,https://dirco.gov.za/media-statements/,dirco.gov.za,A,official,official_direct,P1,africa,foreign_ministry,official_position,official South Africa foreign policy statements
asean_news,https://asean.org/news/,asean.org,A,official,official_direct,P1,asia,international_organization,official_position,official ASEAN institutional and summit signals
china_mfa,https://www.mfa.gov.cn/eng/xw/,mfa.gov.cn,A,official,official_direct,P0,asia,foreign_ministry,official_position,official China foreign ministry news
id_mofcom_gov_cn,https://fdi.mofcom.gov.cn/EN/come-zonghe-list.html,id.mofcom.gov.cn,A,official,official_direct,P1,asia,economic_ministry,official_position,official China commerce and investment policy signal
indonesia_kemlu,https://kemlu.go.id/portal/en,kemlu.go.id,A,official,official_direct,P1,asia,foreign_ministry,official_position,official Indonesia foreign ministry portal
japan_mofa,https://www.mofa.go.jp/press/release/index.html,mofa.go.jp,A,official,official_direct,P0,asia,foreign_ministry,official_position,official Japan foreign ministry releases
malaysia_mfa,https://www.kln.gov.my/web/guest/press-releases,kln.gov.my,A,official,official_direct,P1,asia,foreign_ministry,official_position,official Malaysia foreign ministry press releases
singapore_mfa,https://www.mfa.gov.sg/newsroom/press-statements-transcripts-and-photos/,mfa.gov.sg,A,official,official_direct,P1,asia,foreign_ministry,official_position,official Singapore foreign ministry press statements
southkorea_mofa,https://www.mofa.go.kr/eng/index.do,mofa.go.kr,A,official,official_direct,P1,asia,foreign_ministry,official_position,official Korea foreign ministry portal
taiwan_mofa,https://en.mofa.gov.tw/News.aspx?n=1328&sms=273,en.mofa.gov.tw,A,official,official_direct,P1,asia,foreign_ministry,official_position,official Taiwan foreign ministry news and responses
vietnam_mofa,https://mofa.gov.vn/en/web/ministry-of-foreign-affairs,mofa.gov.vn,A,official,official_direct,P1,asia,foreign_ministry,official_position,official Vietnam foreign ministry portal with spokesperson and press release sections
australia_dfat,https://www.dfat.gov.au/news-speeches-and-media,dfat.gov.au,A,official,official_direct,P1,asia_pacific,foreign_ministry,official_position,official Australian foreign ministry signal
newzealand_mfat,https://www.mfat.govt.nz/en/media-and-resources,mfat.govt.nz,A,official,official_direct,P1,asia_pacific,foreign_ministry,official_position,official New Zealand foreign affairs and trade statements and resources
bundesregierung_de,https://www.bundesregierung.de/breg-de/bundesregierung,bundesregierung.de,A,official,official_direct,P1,europe,executive_government,official_position,official German government newsroom
eeas_europa,https://www.eeas.europa.eu/eeas/press-material_en,eeas.europa.eu,A,official,official_direct,P0,europe,foreign_service,official_position,official EU diplomatic service press material
eu_commission_press,https://ec.europa.eu/commission/presscorner/home/en,ec.europa.eu,A,official,official_direct,P0,europe,supranational_executive,official_position,official European Commission press corner
