domain,proposed_ownership_type,proposed_geo_alignment,proposed_political_leaning,proposed_credibility_tier,proposed_label_confidence,proposed_review_status,evidence_url_1,evidence_url_2,review_note,reviewer,reviewed_at
jpost.com,private,,,,,,,"https://www.jpost.com/landedpages/aboutus.aspx","ownership_round2: Jerusalem Post states Eli Azur retains ownership",codex,2026-06-26
bangkokbiznews.com,private,,,,,needs_review,,"https://en.wikipedia.org/wiki/Nation_Group","ownership_round2: Nation Group commercial media ownership; bias and factuality still lack exact third-party rating",codex,2026-06-26
straitstimes.com,private,,,,,,,"https://en.wikipedia.org/wiki/SPH_Media","ownership_round2: SPH Media owns The Straits Times; mapped to private non-state media company",codex,2026-06-26
businesstimes.com.sg,private,,center,,medium,reviewed,https://www.allsides.com/news-source/business-times-media-bias,https://en.wikipedia.org/wiki/SPH_Media,"rating_round2: AllSides rates The Business Times Center; ownership_round2: SPH Media owns The Business Times",codex,2026-06-26
thenationalnews.com,private,,,,,,,"https://imimedia.com/","ownership_round2: IMI describes itself as privately-owned media group",codex,2026-06-26
hindustantimes.com,private,,,,,,,"https://pakistan.mom-gmr.org/en/owners/companies/detail/company/company/show/ht-media/","ownership_round2: Media Ownership Monitor identifies HT Media commercial ownership",codex,2026-06-26
timesofindia.indiatimes.com,private,,,,,,,"https://en.wikipedia.org/wiki/The_Times_of_India","ownership_round2: Times of India owned by Bennett Coleman and Co. Ltd.; mapped to private",codex,2026-06-26
freemalaysiatoday.com,private,,,,,,,"https://www.freemalaysiatoday.com/about","ownership_round2: FMT site identifies FMT Media Sdn Bhd and leadership",codex,2026-06-26
zaobao.com,private,,,,,needs_review,,"https://en.wikipedia.org/wiki/SPH_Media","ownership_round2: SPH Media owns Lianhe Zaobao; bias and factuality still lack exact third-party rating",codex,2026-06-26
scmp.com,private,,,,,,,"https://corp.scmp.com/our-company","ownership_round2: SCMP corporate history states Alibaba acquisition",codex,2026-06-26
haberturk.com,private,,,,,needs_review,,"https://turkey.mom-rsf.org/en/owners/companies/detail/company//ciner-group-1/","ownership_round2: Media Ownership Monitor records Ciner ownership; bias and factuality still need current exact rating after ownership change reports",codex,2026-06-26
lanacion.com.ar,private,,,,,,,"https://network.thetrustproject.org/partner/la-nacion","ownership_round2: Trust Project lists La Nacion as privately held",codex,2026-06-26
csmonitor.com,nonprofit,,,,,,,"https://www.csmonitor.com/About","ownership_round2: CSM says it is owned by The First Church of Christ Scientist; mapped to nonprofit",codex,2026-06-26
clarin.com,private,,,,,,,"https://argentina.mom-gmr.org/en/owners/companies/detail/company//grupo-clarin-1/","ownership_round2: Media Ownership Monitor company page for Grupo Clarin",codex,2026-06-26
asiaone.com,private,,,,,needs_review,,"https://en.wikipedia.org/wiki/AsiaOne","ownership_round2: AsiaOne operated as joint venture between mm2 Asia and SPH Media; bias and factuality still lack exact third-party rating",codex,2026-06-26
nationthailand.com,private,,,,,needs_review,,"https://en.wikipedia.org/wiki/The_Nation_(Thailand)","ownership_round2: The Nation owned by Nation Group; bias and factuality still lack exact third-party rating",codex,2026-06-26
lefigaro.fr,private,,,,,,,"https://en.wikipedia.org/wiki/Le_Figaro","ownership_round2: Le Figaro commercial ownership mapped to private",codex,2026-06-26
eltiempo.com,private,,,,,reviewed,https://ground.news/interest/el-tiempo,https://en.wikipedia.org/wiki/El_Tiempo_(Colombia),"rating_round2: Ground News lists bias and factuality as unknown; ownership_round2: El Tiempo commercial ownership mapped to private",codex,2026-06-26
prothomalo.com,private,,,,,needs_review,,"https://en.wikipedia.org/wiki/Prothom_Alo","ownership_round2: Prothom Alo commercial publisher mapped to private; bias and factuality still lack exact third-party rating",codex,2026-06-26
hurriyetdailynews.com,private,,,,,,,"https://en.wikipedia.org/wiki/Hurriyet_Daily_News","ownership_round2: Hurriyet Daily News ownership mapped to private commercial media",codex,2026-06-26
dailymaverick.co.za,private,,,,,,,"https://www.dailymaverick.co.za/about/","ownership_round2: Daily Maverick corporate/about page used for private independent media mapping",codex,2026-06-26
news24.com,private,,,,,,,"https://en.wikipedia.org/wiki/News24_(website)","ownership_round2: News24 ownership mapped to private commercial media",codex,2026-06-26
phnompenhpost.com,private,,,,,needs_review,,"https://apnews.com/article/8b0abbc3e4c7be382053aff1631b8e74","ownership_round2: AP reports Post ownership/publisher context; bias and factuality still lack exact third-party rating",codex,2026-06-26
latercera.com,private,,,,,,,"https://en.wikipedia.org/wiki/La_Tercera","ownership_round2: La Tercera ownership mapped to private commercial media",codex,2026-06-26
faz.net,nonprofit,,,,,,,"https://germany.mom-gmr.org/en/owners/individual-owners/owner/fazit-foundation-115746","ownership_round2: Media Ownership Monitor describes FAZIT Foundation nonprofit structure",codex,2026-06-26
premiumtimesng.com,private,,,,,,,"https://www.premiumtimesng.com/about-us","ownership_round2: Premium Times about page used for private independent media mapping",codex,2026-06-26
news.thaipbs.or.th,,,,,,needs_review,,"https://en.wikipedia.org/wiki/Thai_Public_Broadcasting_Service","review_round2: kept political unknown; public broadcaster ownership already set; exact third-party bias rating still needed",codex,2026-06-26
nzherald.co.nz,private,,,,,,,"https://en.wikipedia.org/wiki/The_New_Zealand_Herald","ownership_round2: NZ Herald ownership mapped to private commercial media",codex,2026-06-26
kyivindependent.com,nonprofit,,,,,,,"https://kyivindependent.com/about/","ownership_round2: Kyiv Independent describes independent member-supported newsroom; mapped to nonprofit/community-funded",codex,2026-06-26
liputan6.com,private,,,,,,,"https://en.wikipedia.org/wiki/Liputan_6","ownership_round2: Liputan6 ownership mapped to private commercial media",codex,2026-06-26
dn.pt,private,,,,,needs_review,,"https://en.wikipedia.org/wiki/Di%C3%A1rio_de_Not%C3%ADcias","ownership_round2: Diario de Noticias commercial ownership mapped to private; bias and factuality still lack exact third-party rating",codex,2026-06-26
gulfnews.com,private,,,,,,,"https://en.wikipedia.org/wiki/Gulf_News","ownership_round2: Gulf News ownership mapped to private commercial media",codex,2026-06-26
smh.com.au,private,,,,,,,"https://en.wikipedia.org/wiki/The_Sydney_Morning_Herald","ownership_round2: SMH ownership mapped to private commercial media",codex,2026-06-26
koreaherald.com,private,,,,,,,"https://en.wikipedia.org/wiki/The_Korea_Herald","ownership_round2: Korea Herald ownership mapped to private commercial media",codex,2026-06-26
elcomercio.pe,private,,,,,reviewed,https://ground.news/interest/el-comercio,https://en.wikipedia.org/wiki/El_Comercio_(Peru),"rating_round2: Ground News lists bias and factuality as unknown; ownership_round2: El Comercio commercial ownership mapped to private",codex,2026-06-26
yomiuri.co.jp,private,,,,,,,"https://en.wikipedia.org/wiki/Yomiuri_Shimbun","ownership_round2: Yomiuri ownership mapped to private commercial media",codex,2026-06-26
africanews.com,private,,,,,,,"https://en.wikipedia.org/wiki/Africanews","ownership_round2: Africanews ownership mapped to private commercial media",codex,2026-06-26
indianexpress.com,private,,,,,,,"https://en.wikipedia.org/wiki/The_Indian_Express","ownership_round2: Indian Express ownership mapped to private commercial media",codex,2026-06-26
thestar.com,private,,,,,,,"https://en.wikipedia.org/wiki/Toronto_Star","ownership_round2: Toronto Star ownership mapped to private commercial media",codex,2026-06-26
detik.com,private,,,,,needs_review,,"https://en.wikipedia.org/wiki/Detik.com","ownership_round2: Detik commercial ownership mapped to private; bias and factuality still lack exact third-party rating",codex,2026-06-26
thehindu.com,private,,,,,,,"https://en.wikipedia.org/wiki/The_Hindu","ownership_round2: The Hindu ownership mapped to private commercial media",codex,2026-06-26
bangkokpost.com,private,,,,,,,"https://www.bangkokpost.co.th/corporate_info/board","ownership_round2: Bangkok Post corporate board/company page used for private commercial media mapping",codex,2026-06-26
