site_id,domain,layer,priority_tier,region,source_type,preferred_entry,signal_role,origin,notes
asahi_com,asahi.com,media_narrative,P0,asia,national_major_media,https://www.asahi.com/politics/?iref=pc_gnavi,narrative_and_agenda,media_core,top Japanese daily
channelnewsasia_com,channelnewsasia.com,media_narrative,P0,asia,regional_major_media,http://www.channelnewsasia.com/latest-news,narrative_and_agenda,media_core,excellent Southeast Asia and China coverage
freemalaysiatoday_com,freemalaysiatoday.com,media_narrative,P0,asia,national_major_media,http://www.freemalaysiatoday.com/news,narrative_and_agenda,media_core,high update frequency
inquirer_net,inquirer.net,media_narrative,P0,asia,national_major_media,https://newsinfo.inquirer.net/,narrative_and_agenda,media_core,major Philippines source
nikkei_com,nikkei.com,media_narrative,P0,asia,national_major_media,https://www.nikkei.com/world/,narrative_and_agenda,media_core,use politics and Asia sections rather than current URL
scmp_com,scmp.com,media_narrative,P0,asia,regional_major_media,http://www.scmp.com/news/china/military,narrative_and_agenda,media_core,top source for China and region
straitstimes_com,straitstimes.com,media_narrative,P0,asia,national_major_media,http://www.straitstimes.com/world,narrative_and_agenda,media_core,top Singapore source
thejakartapost_com,thejakartapost.com,media_narrative,P0,asia,national_major_media,http://www.thejakartapost.com/world,narrative_and_agenda,media_core,top Indonesia English source
vnexpress_net,vnexpress.net,media_narrative,P0,asia,national_major_media,http://vnexpress.net/tin-tuc-24h,narrative_and_agenda,media_core,top Vietnam source
yomiuri_co_jp,yomiuri.co.jp,media_narrative,P0,asia,national_major_media,http://www.yomiuri.co.jp/politics/,narrative_and_agenda,media_core,top Japanese daily
zaobao_com,zaobao.com,media_narrative,P0,asia,regional_major_media,http://www.zaobao.com/news,narrative_and_agenda,media_core,key Chinese language regional source
abc_net_au,abc.net.au,media_narrative,P0,asia_pacific,public_broadcaster,http://www.abc.net.au/news/justin,narrative_and_agenda,media_core,public broadcaster with strong Asia coverage
rnz_co_nz,rnz.co.nz,media_narrative,P0,asia_pacific,public_broadcaster,https://www.rnz.co.nz/news/world,narrative_and_agenda,media_core,high quality New Zealand source
smh_com_au,smh.com.au,media_narrative,P0,asia_pacific,national_major_media,https://www.smh.com.au/world/north-america,narrative_and_agenda,media_core,major Australia paper
theage_com_au,theage.com.au,media_narrative,P0,asia_pacific,national_major_media,http://www.theage.com.au/world/north-america,narrative_and_agenda,media_core,major Australia paper
