site_id,url,domain,seed_tier,seed_type,layer,priority_tier,region,source_type,signal_role,notes,seed_origin,robots_url,robots_status,robots_has_sitemap,candidate_sitemap_count,accessible_sitemap_count,accessible_sitemaps,accessible_feed_count,accessible_feeds,historical_strategy,expected_coverage,wayback_fallback,seed_has_archive_hint
asahi_com,https://www.asahi.com/politics/?iref=pc_gnavi,asahi.com,A,national_media,media_narrative,P0,asia,national_major_media,narrative_and_agenda,top Japanese daily,https://www.asahi.com,https://www.asahi.com/robots.txt,200,1,8,1,"[""https://www.asahi.com/sitemap.xml""]",0,[],direct_sitemap,medium,1,0
channelnewsasia_com,http://www.channelnewsasia.com/latest-news,channelnewsasia.com,A,regional_media,media_narrative,P0,asia,regional_major_media,narrative_and_agenda,excellent Southeast Asia and China coverage,http://www.channelnewsasia.com,http://www.channelnewsasia.com/robots.txt,200,1,12,4,"[""https://www.channelnewsasia.com/api/v1/sitemap-news-feed?_format=xml"", ""https://www.channelnewsasia.com/api/v1/sitemap-video-feed?_format=xml"", ""https://www.channelnewsasia.com/api/v1/sitemap-image-feed?_format=xml"", ""https://www.channelnewsasia.com/api/v1/google-audio-news-feed""]",0,[],direct_sitemap,medium,1,1
freemalaysiatoday_com,http://www.freemalaysiatoday.com/news,freemalaysiatoday.com,A,national_media,media_narrative,P0,asia,national_major_media,narrative_and_agenda,high update frequency,http://www.freemalaysiatoday.com,http://www.freemalaysiatoday.com/robots.txt,200,1,15,8,"[""https://cms.freemalaysiatoday.com/sitemap-news.xml"", ""https://cms.freemalaysiatoday.com/sitemap.xml"", ""https://www.freemalaysiatoday.com/sitemaps-index.xml"", ""https://www.freemalaysiatoday.com/news-sitemap.xml"", ""https://www.freemalaysiatoday.com/landing-page-sitemap.xml"", ""https://www.freemalaysiatoday.com/video-sitemap.xml"", ""https://www.freemalaysiatoday.com/feeds-sitemap.xml"", ""https://www.freemalaysiatoday.com/news-sitemap.xml""]",1,"[""https://cms.freemalaysiatoday.com/feed""]",direct_sitemap,high,1,0
inquirer_net,https://newsinfo.inquirer.net/,inquirer.net,A,national_media,media_narrative,P0,asia,national_major_media,narrative_and_agenda,major Philippines source,https://newsinfo.inquirer.net,https://newsinfo.inquirer.net/robots.txt,200,0,8,0,[],1,"[""https://newsinfo.inquirer.net/feed""]",feed_plus_archive,medium,1,0
nikkei_com,https://www.nikkei.com/world/,nikkei.com,A,national_media,media_narrative,P0,asia,national_major_media,narrative_and_agenda,use politics and Asia sections rather than current URL,https://www.nikkei.com,https://www.nikkei.com/robots.txt,200,1,9,2,"[""https://www.nikkei.com/sitemap.xml"", ""https://www.nikkei.com/sitemaps/topics_sitemap_index.xml""]",0,[],direct_sitemap,high,1,0
scmp_com,http://www.scmp.com/news/china/military,scmp.com,A,regional_media,media_narrative,P0,asia,regional_major_media,narrative_and_agenda,top source for China and region,http://www.scmp.com,http://www.scmp.com/robots.txt,200,1,10,2,"[""https://www.scmp.com/sitemap/sitemap.xml"", ""https://www.scmp.com/sitemap/archives-0.xml""]",0,[],direct_sitemap,medium,1,0
straitstimes_com,http://www.straitstimes.com/world,straitstimes.com,A,national_media,media_narrative,P0,asia,national_major_media,narrative_and_agenda,top Singapore source,http://www.straitstimes.com,http://www.straitstimes.com/robots.txt,200,1,11,4,"[""https://www.straitstimes.com/livecoverage.xml"", ""https://www.straitstimes.com/googlenews.xml"", ""https://www.straitstimes.com/sitemap.xml"", ""https://www.straitstimes.com/sitemap.xml""]",1,"[""https://www.straitstimes.com/rss.xml""]",direct_sitemap,medium,1,0
thejakartapost_com,http://www.thejakartapost.com/world,thejakartapost.com,A,national_media,media_narrative,P0,asia,national_major_media,narrative_and_agenda,top Indonesia English source,http://www.thejakartapost.com,http://www.thejakartapost.com/robots.txt,200,1,9,2,"[""https://www.thejakartapost.com/sitemap.xml"", ""http://www.thejakartapost.com/sitemap.xml""]",0,[],direct_sitemap,medium,1,0
vnexpress_net,http://vnexpress.net/tin-tuc-24h,vnexpress.net,A,national_media,media_narrative,P0,asia,national_major_media,narrative_and_agenda,top Vietnam source,http://vnexpress.net,http://vnexpress.net/robots.txt,200,1,10,2,"[""https://vnexpress.net/sitemap.xml"", ""https://vnexpress.net/sitemap.xml""]",0,[],direct_sitemap,medium,1,1
yomiuri_co_jp,http://www.yomiuri.co.jp/politics/,yomiuri.co.jp,A,national_media,media_narrative,P0,asia,national_major_media,narrative_and_agenda,top Japanese daily,http://www.yomiuri.co.jp,http://www.yomiuri.co.jp/robots.txt,200,1,9,4,"[""https://www.yomiuri.co.jp/sitemap.xml"", ""https://www.yomiuri.co.jp/sitemap.xml"", ""https://www.yomiuri.co.jp/sitemap-index.xml"", ""https://www.yomiuri.co.jp/sitemap-news.xml""]",0,[],direct_sitemap,medium,1,0
