site_id,url,domain,seed_tier,seed_type,layer,priority_tier,region,source_type,signal_role,notes,seed_origin,robots_url,robots_status,robots_has_sitemap,candidate_sitemap_count,accessible_sitemap_count,accessible_sitemaps,accessible_feed_count,accessible_feeds,historical_strategy,expected_coverage,wayback_fallback,seed_has_archive_hint
abc_net_au,http://www.abc.net.au/news/justin,abc.net.au,A,major_media,media_narrative,P0,asia_pacific,public_broadcaster,narrative_and_agenda,public broadcaster with strong Asia coverage,http://www.abc.net.au,http://www.abc.net.au/robots.txt,200,1,9,1,"[""https://www.abc.net.au/sitemaps/sitemap-index.xml.gz""]",0,[],direct_sitemap,medium,1,0
aljazeera_net,https://www.aljazeera.net/news/,aljazeera.net,A,major_media,media_narrative,P0,middle_east,global_major_media,narrative_and_agenda,major source for Middle East coverage,https://www.aljazeera.net,https://www.aljazeera.net/robots.txt,200,1,12,6,"[""https://www.aljazeera.net/news-sitemap.xml"", ""https://www.aljazeera.net/sitemaps/article-archive.xml"", ""https://www.aljazeera.net/sitemaps/article-new.xml"", ""https://www.aljazeera.net/sitemaps/video-archive.xml"", ""https://www.aljazeera.net/sitemaps/video-new.xml"", ""https://www.aljazeera.net/sitemap.xml""]",1,"[""https://www.aljazeera.net/aljazeerarss/a7c186be-1baa-4bd4-9d80-a84db769f779/73d0e1b4-532f-45ef-b135-bfdff8b8cab9""]",direct_sitemap,high,1,0
asahi_com,https://www.asahi.com/politics/?iref=pc_gnavi,asahi.com,A,national_media,media_narrative,P0,asia,national_major_media,narrative_and_agenda,top Japanese daily,https://www.asahi.com,https://www.asahi.com/robots.txt,200,1,8,1,"[""https://www.asahi.com/sitemap.xml""]",0,[],direct_sitemap,medium,1,0
bbc_com,https://www.bbc.com/news,bbc.com,A,major_media,media_narrative,P0,global,global_major_media,narrative_and_agenda,high quality global coverage,https://www.bbc.com,https://www.bbc.com/robots.txt,200,1,41,12,"[""https://www.bbc.com/sitemaps/https-index-com-archive.xml"", ""https://www.bbc.com/sitemaps/https-index-com-news.xml"", ""https://www.bbc.com/sitemaps/https-index-com-archive_video.xml"", ""https://www.bbc.com/sitemaps/https-index-com-video.xml"", ""https://www.bbc.com/sitemaps/sitemap-com-ws-topics.xml"", ""https://www.bbc.com/sport/sitemap.xml"", ""https://www.bbc.com/afrique/sitemap.xml"", ""https://www.bbc.com/arabic/sitemap.xml"", ""https://www.bbc.com/bengali/sitemap.xml"", ""https://www.bbc.com/burmese/sitemap.xml"", ""https://www.bbc.com/gahuza/sitemap.xml"", ""https://www.bbc.com/hausa/sitemap.xml""]",0,[],direct_sitemap,medium,1,0
cbsnews_com,http://www.cbsnews.com/world/,cbsnews.com,A,major_media,media_narrative,P0,north_america,global_major_media,narrative_and_agenda,strong general international coverage,http://www.cbsnews.com,http://www.cbsnews.com/robots.txt,200,1,9,1,"[""https://www.cbsnews.com/xml-sitemap/index.xml""]",0,[],direct_sitemap,medium,1,0
channelnewsasia_com,http://www.channelnewsasia.com/latest-news,channelnewsasia.com,A,regional_media,media_narrative,P0,asia,regional_major_media,narrative_and_agenda,excellent Southeast Asia and China coverage,http://www.channelnewsasia.com,http://www.channelnewsasia.com/robots.txt,200,1,12,4,"[""https://www.channelnewsasia.com/api/v1/sitemap-news-feed?_format=xml"", ""https://www.channelnewsasia.com/api/v1/sitemap-video-feed?_format=xml"", ""https://www.channelnewsasia.com/api/v1/sitemap-image-feed?_format=xml"", ""https://www.channelnewsasia.com/api/v1/google-audio-news-feed""]",0,[],direct_sitemap,medium,1,1
dawnnews_tv,https://www.dawnnews.tv/pakistan,dawnnews.tv,A,national_media,media_narrative,P0,south_asia,national_major_media,narrative_and_agenda,important Pakistan source,https://www.dawnnews.tv,https://www.dawnnews.tv/robots.txt,200,1,9,1,"[""https://www.dawnnews.tv/feeds/sitemap""]",0,[],direct_sitemap,medium,1,0
faz_net,https://www.faz.net/aktuell/politik/,faz.net,A,national_media,media_narrative,P0,europe,national_major_media,narrative_and_agenda,major German paper,https://www.faz.net,https://www.faz.net/robots.txt,200,0,8,2,"[""https://www.faz.net/sitemap-index.xml"", ""https://www.faz.net/sitemap-news.xml""]",0,[],direct_sitemap,medium,1,0
freemalaysiatoday_com,http://www.freemalaysiatoday.com/news,freemalaysiatoday.com,A,national_media,media_narrative,P0,asia,national_major_media,narrative_and_agenda,high update frequency,http://www.freemalaysiatoday.com,http://www.freemalaysiatoday.com/robots.txt,200,1,15,7,"[""https://cms.freemalaysiatoday.com/sitemap-news.xml"", ""https://cms.freemalaysiatoday.com/sitemap.xml"", ""https://www.freemalaysiatoday.com/sitemaps-index.xml"", ""https://www.freemalaysiatoday.com/landing-page-sitemap.xml"", ""https://www.freemalaysiatoday.com/video-sitemap.xml"", ""https://www.freemalaysiatoday.com/feeds-sitemap.xml"", ""https://www.freemalaysiatoday.com/news-sitemap.xml""]",1,"[""https://cms.freemalaysiatoday.com/feed""]",direct_sitemap,high,1,0
geo_tv,https://www.geo.tv/latest-news,geo.tv,A,national_media,media_narrative,P0,south_asia,national_major_media,narrative_and_agenda,high volume Pakistan source,https://www.geo.tv,https://www.geo.tv/robots.txt,200,1,10,10,"[""https://www.geo.tv/assets/uploads/google_news_latest.xml"", ""https://www.geo.tv/assets/uploads/google_embed_videos.xml"", ""https://www.geo.tv/sitemap.xml"", ""https://www.geo.tv/sitemap_index.xml"", ""https://www.geo.tv/sitemap-index.xml"", ""https://www.geo.tv/news-sitemap.xml"", ""https://www.geo.tv/sitemap_news.xml"", ""https://www.geo.tv/sitemap-news.xml"", ""https://www.geo.tv/post-sitemap.xml"", ""https://www.geo.tv/page-sitemap.xml""]",0,[],direct_sitemap,high,1,1
haaretz_com,https://www.haaretz.com/israel-news/israel-security,haaretz.com,A,national_media,media_narrative,P0,middle_east,national_major_media,narrative_and_agenda,high value for Israel coverage,https://www.haaretz.com,https://www.haaretz.com/robots.txt,200,1,10,4,"[""https://www.haaretz.com/sitemap.xml"", ""https://www.haaretz.com/news-sitemap-content.xml"", ""https://www.haaretz.com/news-sitemap-latest.xml"", ""https://www.haaretz.com/news-sitemap.xml""]",0,[],direct_sitemap,high,1,0
hindustantimes_com,https://www.hindustantimes.com/world-news,hindustantimes.com,A,national_media,media_narrative,P0,south_asia,national_major_media,narrative_and_agenda,major India source,https://www.hindustantimes.com,https://www.hindustantimes.com/robots.txt,200,1,15,7,"[""https://www.hindustantimes.com/sitemap/section.xml"", ""https://www.hindustantimes.com/sitemap/news.xml"", ""https://www.hindustantimes.com/sitemap/index.xml"", ""https://www.hindustantimes.com/sitemap/liveblog.xml"", ""https://www.hindustantimes.com/sitemap/education-static.xml"", ""https://www.hindustantimes.com/telugu/sitemap/news.xml"", ""https://www.hindustantimes.com/bangla/sitemap/news.xml""]",0,[],direct_sitemap,medium,1,0
hurriyetdailynews_com,https://www.hurriyetdailynews.com/world/,hurriyetdailynews.com,A,national_media,media_narrative,P0,middle_east,national_major_media,narrative_and_agenda,English Turkey source,https://www.hurriyetdailynews.com,https://www.hurriyetdailynews.com/robots.txt,200,1,10,2,"[""https://www.hurriyetdailynews.com/sitemaps/newssitemap.xml"", ""https://www.hurriyetdailynews.com/sitemaps/posts.xml""]",1,"[""https://www.hurriyetdailynews.com/rss""]",direct_sitemap,medium,1,0
inquirer_net,https://newsinfo.inquirer.net/,inquirer.net,A,national_media,media_narrative,P0,asia,national_major_media,narrative_and_agenda,major Philippines source,https://newsinfo.inquirer.net,https://newsinfo.inquirer.net/robots.txt,200,0,8,0,[],1,"[""https://newsinfo.inquirer.net/feed""]",feed_plus_archive,medium,1,0
jpost_com,https://www.jpost.com/israel-news,jpost.com,A,national_media,media_narrative,P0,middle_east,national_major_media,narrative_and_agenda,major English Israel source,https://www.jpost.com,https://www.jpost.com/robots.txt,200,1,11,3,"[""https://www.jpost.com/googlenewssitemap/gnsitemap"", ""https://www.jpost.com/jpgooglesitemap/sitemapindex.xml"", ""https://www.jpost.com/jpgooglesitemap/latestarticles""]",0,[],direct_sitemap,medium,1,0
lanacion_com_ar,http://www.lanacion.com.ar/politica/,lanacion.com.ar,A,national_media,media_narrative,P0,latin_america,national_major_media,narrative_and_agenda,major Argentina source,http://www.lanacion.com.ar,http://www.lanacion.com.ar/robots.txt,200,1,14,6,"[""https://www.lanacion.com.ar/sitemap-index.xml"", ""https://www.lanacion.com.ar/sitemap-news.xml"", ""https://www.lanacion.com.ar/sitemap-videos-jw.xml"", ""https://www.lanacion.com.ar/sitemap-index-historico.xml"", ""https://www.lanacion.com.ar/sitemap-articles-evergreen.xml"", ""https://www.lanacion.com.ar/sitemap-section-index.xml""]",0,[],direct_sitemap,medium,1,0
latimes_com,https://www.latimes.com/politics,latimes.com,A,national_media,media_narrative,P0,north_america,national_major_media,narrative_and_agenda,major US paper,https://www.latimes.com,https://www.latimes.com/robots.txt,200,1,9,3,"[""https://www.latimes.com/sitemaps/sitemap.xml"", ""https://www.latimes.com/news-sitemap.xml"", ""https://www.latimes.com/sitemap.xml""]",0,[],direct_sitemap,high,1,0
lefigaro_fr,https://www.lefigaro.fr/international,lefigaro.fr,A,national_media,media_narrative,P0,europe,national_major_media,narrative_and_agenda,major French daily,https://www.lefigaro.fr,https://www.lefigaro.fr/robots.txt,200,1,13,5,"[""https://sitemaps.lefigaro.fr/lefigaro.fr/articles.xml"", ""https://sitemaps.lefigaro.fr/lefigaro.fr/sections.xml"", ""https://sitemaps.lefigaro.fr/lefigaro.fr/topics.xml"", ""https://www.lefigaro.fr/sitemap_news.xml"", ""https://sitemaps.lefigaro.fr/lefigaro.fr/elections/resultats/sitemap.xml""]",0,[],direct_sitemap,medium,1,0
nikkei_com,https://www.nikkei.com/world/,nikkei.com,A,national_media,media_narrative,P0,asia,national_major_media,narrative_and_agenda,use politics and Asia sections rather than current URL,https://www.nikkei.com,https://www.nikkei.com/robots.txt,200,1,9,2,"[""https://www.nikkei.com/sitemap.xml"", ""https://www.nikkei.com/sitemaps/topics_sitemap_index.xml""]",0,[],direct_sitemap,high,1,0
prothomalo_com,https://www.prothomalo.com/world,prothomalo.com,A,national_media,media_narrative,P0,south_asia,national_major_media,narrative_and_agenda,major Bangladesh source,https://www.prothomalo.com,https://www.prothomalo.com/robots.txt,200,1,9,2,"[""https://www.prothomalo.com/sitemap.xml"", ""https://www.prothomalo.com/news_sitemap.xml""]",1,"[""https://www.prothomalo.com/stories.rss""]",direct_sitemap,medium,1,0
rnz_co_nz,https://www.rnz.co.nz/news/world,rnz.co.nz,A,major_media,media_narrative,P0,asia_pacific,public_broadcaster,narrative_and_agenda,high quality New Zealand source,https://www.rnz.co.nz,https://www.rnz.co.nz/robots.txt,200,1,9,2,"[""https://www.rnz.co.nz/sitemap/sitemap.xml.gz"", ""https://www.rnz.co.nz/sitemap-news.xml""]",0,[],direct_sitemap,medium,1,0
rtve_es,http://www.rtve.es/noticias/ultimas-noticias/,rtve.es,A,major_media,media_narrative,P0,europe,public_broadcaster,narrative_and_agenda,public broadcaster with broad coverage,http://www.rtve.es,http://www.rtve.es/robots.txt,200,1,21,7,"[""https://www.rtve.es/sitemaps/sitemaps-news.xml"", ""https://www.rtve.es/sitemaps/deportes/sitemap.xml"", ""https://www.rtve.es/sitemaps/noticias/sitemap.xml"", ""https://www.rtve.es/sitemaps/playz/sitemap.xml"", ""https://www.rtve.es/sitemaps/radio/sitemap.xml"", ""https://www.rtve.es/sitemaps/rtve/sitemap.xml"", ""https://www.rtve.es/sitemaps/television/sitemap.xml""]",0,[],direct_sitemap,medium,1,0
scmp_com,http://www.scmp.com/news/china/military,scmp.com,A,regional_media,media_narrative,P0,asia,regional_major_media,narrative_and_agenda,top source for China and region,http://www.scmp.com,http://www.scmp.com/robots.txt,200,1,10,2,"[""https://www.scmp.com/sitemap/sitemap.xml"", ""https://www.scmp.com/sitemap/archives-0.xml""]",0,[],direct_sitemap,medium,1,0
smh_com_au,https://www.smh.com.au/world/north-america,smh.com.au,A,national_media,media_narrative,P0,asia_pacific,national_major_media,narrative_and_agenda,major Australia paper,https://www.smh.com.au,https://www.smh.com.au/robots.txt,200,1,12,4,"[""https://www.smh.com.au/sitemaps/news/brands/smh"", ""https://www.smh.com.au/sitemaps/smh-sitemaps-videos.xml"", ""https://www.smh.com.au/sitemaps/smh-sitemaps-articles.xml"", ""https://www.smh.com.au/rss/feed.xml""]",0,[],direct_sitemap,medium,1,0
