site_id,domain,layer,priority_tier,region,source_type,preferred_entry,signal_role,origin,notes
nigeria_mfa,foreignaffairs.gov.ng,official_direct,P1,africa,foreign_ministry,https://foreignaffairs.gov.ng/news/latest-news/,official_position,strategic_addition_v2,official Nigeria foreign ministry news and press releases
east_african,theeastafrican.co.ke,media_narrative,P1,africa,regional_major_media,https://www.theeastafrican.co.ke/tea/news,narrative_and_agenda,strategic_addition_v2,regional East African policy and geopolitics coverage
kenya_mfa,mfa.go.ke,official_direct,P1,africa,foreign_ministry,https://mfa.go.ke/allnews,official_position,strategic_addition_v2,official Kenya foreign affairs news and diplomacy updates
ethiopia_mfa,mfa.gov.et,official_direct,P1,africa,foreign_ministry,https://mfa.gov.et/news,official_position,strategic_addition_v2,official Ethiopia foreign ministry news
ecowas_news,ecowas.int,official_direct,P1,africa,international_organization,https://www.ecowas.int/,official_position,strategic_addition_v2,official West African regional organization news and communiques
news24_politics,news24.com,media_narrative,P1,africa,national_major_media,https://www.news24.com/politics,narrative_and_agenda,strategic_addition_v2,major South Africa politics desk with strong domestic governance coverage
singapore_mfa,mfa.gov.sg,official_direct,P1,asia,foreign_ministry,https://www.mfa.gov.sg/newsroom/press-statements-transcripts-and-photos/,official_position,strategic_addition_v2,official Singapore foreign ministry press statements
taiwan_mofa,en.mofa.gov.tw,official_direct,P1,asia,foreign_ministry,https://en.mofa.gov.tw/News.aspx?n=1328&sms=273,official_position,strategic_addition_v2,official Taiwan foreign ministry news and responses
vietnam_mofa,mofa.gov.vn,official_direct,P1,asia,foreign_ministry,https://mofa.gov.vn/en/web/ministry-of-foreign-affairs,official_position,strategic_addition_v2,official Vietnam foreign ministry portal with spokesperson and press release sections
russia_mfa,mid.ru,official_direct,P1,europe,foreign_ministry,https://mid.ru/en/press_service/,official_position,strategic_addition_v2,official Russian foreign ministry statements and briefings
ukraine_mfa,mfa.gov.ua,official_direct,P1,europe,foreign_ministry,https://mfa.gov.ua/en/news,official_position,strategic_addition_v2,official Ukraine foreign ministry statements and news
israel_mfa,gov.il,official_direct,P1,middle_east,foreign_ministry,https://www.gov.il/en/departments/ministry_of_foreign_affairs,official_position,strategic_addition_v2,official Israeli foreign ministry news and statements
gulf_news_world,gulfnews.com,media_narrative,P1,middle_east,national_major_media,https://gulfnews.com/world,narrative_and_agenda,strategic_addition_v2,major Gulf regional outlet with broad MENA coverage
ahram_online_politics,english.ahram.org.eg,media_narrative,P1,middle_east,national_major_media,https://english.ahram.org.eg/Category/1/64/Egypt/Politics-.aspx,narrative_and_agenda,strategic_addition_v2,major Egypt English-language politics desk
times_of_israel,timesofisrael.com,media_narrative,P1,middle_east,national_major_media,https://www.timesofisrael.com/israel-and-the-region/,narrative_and_agenda,strategic_addition_v2,major Israel English-language political and regional coverage
colombia_cancilleria,cancilleria.gov.co,official_direct,P1,latin_america,foreign_ministry,https://www.cancilleria.gov.co/sala-de-prensa/noticias,official_position,strategic_addition_v2,official Colombia foreign ministry newsroom
chile_minrel,minrel.gob.cl,official_direct,P1,latin_america,foreign_ministry,https://www.minrel.gob.cl/minrel/sala-de-prensa/p/1,official_position,strategic_addition_v2,official Chile foreign ministry press room
el_espectador_politica,elespectador.com,media_narrative,P1,latin_america,national_major_media,https://www.elespectador.com/politica/,narrative_and_agenda,strategic_addition_v2,major Colombia politics desk
pakistan_mofa,mofa.gov.pk,official_direct,P1,south_asia,foreign_ministry,https://mofa.gov.pk/press-releases,official_position,strategic_addition_v2,official Pakistan foreign ministry press releases
bangladesh_mofa,mofa.gov.bd,official_direct,P1,south_asia,foreign_ministry,https://mofa.gov.bd/pages/press-releases,official_position,strategic_addition_v2,official Bangladesh foreign ministry press releases
sri_lanka_mfa,mfa.gov.lk,official_direct,P1,south_asia,foreign_ministry,https://www.mfa.gov.lk/en/news/ministry-news,official_position,strategic_addition_v2,official Sri Lanka foreign ministry news
daily_star_bd,thedailystar.net,media_narrative,P1,south_asia,national_major_media,https://www.thedailystar.net/news/world,narrative_and_agenda,strategic_addition_v2,major Bangladesh English-language outlet with regional and world coverage
indian_express_world,indianexpress.com,media_narrative,P1,south_asia,national_major_media,https://indianexpress.com/section/world/,narrative_and_agenda,strategic_addition_v2,major India outlet with strong international desk
