site_id,url,domain,priority_tier,quality_tier,source_type,region,action,notes,classification_basis
2001_com_ve,http://2001.com.ve/internacionales,2001.com.ve,P2,C,regional_media_candidate,latin_america,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
20minutes_fr,https://www.20minutes.fr/monde/,20minutes.fr,P2,C,regional_media_candidate,europe,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
24h_com_vn,https://www.24h.com.vn/tin-tuc-bien-dong-c46e3601.html/tin-tuc-quoc-te-c415.html,24h.com.vn,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
26sep_net,https://www.26sep.net/index.php/paper-news,26sep.net,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
5septiembre_cu,http://www.5septiembre.cu/category/politica/,5septiembre.cu,P2,C,regional_media_candidate,europe,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
aajtak_intoday_in,https://aajtak.intoday.in/india/delhi,aajtak.intoday.in,P2,C,national_major_media,south_asia,selective_crawl,high volume but uneven relevance,manual_or_curated
aap_com_au,https://www.aapnews.com.au/,aapnews.com.au,P2,C,wire_service,asia_pacific,selective_crawl,unclear source value; manual review recommended,heuristic
abc_es,http://www.abc.es/internacional/,abc.es,P1,B,national_major_media,europe,secondary_crawl,good Spain supplement,manual_or_curated
abc_net_au,http://www.abc.net.au/news/justin,abc.net.au,P0,A,public_broadcaster,asia_pacific,primary_crawl,public broadcaster with strong Asia coverage,manual_or_curated
abcnews_go_com,http://abcnews.go.com/alerts/climatechange/,abcnews.go.com,P1,B,global_major_media,north_america,secondary_crawl,major US broadcaster; use international desk rather than climate alerts page,manual_override
abplive_com,https://www.abplive.com/lifestyle/food,abplive.com,Drop,D,noise,latin_america,drop,"non-news, utility, forum, lifestyle, or commerce source",heuristic
abpnews_abplive_in,https://abpnews.abplive.in/blog,abpnews.abplive.in,P2,C,regional_media_candidate,latin_america,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
acd_com_tw,https://www.acd.com.tw/info/news/,acd.com.tw,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
acn_cu,http://www.acn.cu/mundo,acn.cu,P2,C,regional_media_candidate,latin_america,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
actu_fr,https://www.actu.fr/enquetes-d-actu/,actu.fr,P2,C,regional_media_candidate,europe,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
addustour_com,https://www.addustour.com/categories/1-%D9%85%D8%AD%D9%84%D9%8A%D8%A7%D8%AA,addustour.com,P2,C,regional_media_candidate,north_america,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
adelante_cu,http://www.adelante.cu/index.php/es/noticias,adelante.cu,P2,C,regional_media_candidate,europe,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
aei_org,https://www.aei.org/policy-areas/economics/,aei.org,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
aei_um_edu_my,https://aei.um.edu.my/latest-news,aei.um.edu.my,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
afp_com,https://www.afp.com/en/agency/inside-afp/press-releases,afp.com,P2,C,wire_service,global,selective_crawl,unclear source value; manual review recommended,heuristic
afyonhaber_com,https://www.afyonhaber.com/turkiye,afyonhaber.com,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
agrasamachar_com,http://www.agrasamachar.com/search/label/%E0%A4%86%E0%A4%97%E0%A4%B0%E0%A4%BE,agrasamachar.com,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
ahora_cu,http://www.ahora.cu/es/cobertura-especial,ahora.cu,P2,C,regional_media_candidate,latin_america,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
