article_id	label	score
2838753	0	0.15475237
2838630	0	0.92656236
2840604	0	0.35351939
2843324	0	0.67216074
2839194	0	0.54294605
2843376	0	0.35843219
2840470	1	0.92633504
2840106	1	0.92199899
2841553	1	0.98239610
2842582	1	0.97114483
2839368	1	0.92191091
2840421	1	0.97049621
2841149	1	0.88933356
2840089	1	0.99660956
2843383	1	0.73044365
2840046	1	0.99462962
2840092	1	0.72482178
2840225	1	0.92127630
2838586	1	0.66851223
2840009	1	0.89102608
2844295	0	0.54266394
2844013	1	0.98528436
2845092	0	0.53030040
2844973	0	0.91441244
2845939	0	0.34059345
2845487	0	0.98285176
2844991	1	0.97987589
2845410	0	0.45186125
2844410	1	0.92199899
2846145	0	0.90017927
2845866	0	0.49674334
2845945	1	0.98264311
2846474	0	0.34800772
2845711	1	0.87279589
2845720	1	0.95957096
2846230	1	0.97564965
2846970	0	0.40832804
2846508	1	0.99004427
2845986	1	0.98243541
2847293	1	0.70488568
2847077	1	0.97647454
2847145	1	0.96762358
2846255	1	0.89068267
2847577	1	0.94385259
2846718	1	0.85430228
2845642	1	0.98417458
2844182	1	0.82687491
2846893	1	0.98826196
2847351	1	0.98025288
2846955	1	0.94755431
2847482	1	0.79225986
2845794	1	0.87868640
2843167	1	0.87309500
2847061	1	0.91521333
2847793	1	0.98837595
2848234	1	0.99988775
2849276	0	0.92007168
2849052	0	0.87709687
2849018	0	0.92841171
2850340	0	0.74788255
2848056	1	0.60305300
2848942	1	0.95177344
2849895	1	0.42138459
2848335	1	0.90831403
2849540	1	0.84424863
2848659	1	0.99856728
2848316	1	0.91349346
2850214	1	0.34237208
2850886	1	0.98622564
2848911	1	0.97498581
2849144	1	0.58848136
2848625	1	0.67819762
2851578	1	0.83440215
2851524	0	0.39827795
2848049	1	0.92265624
2850516	1	0.17654737
2851484	1	0.99378033
2851882	1	0.99209446
2850181	1	0.52548916
2851538	1	0.99413996
2850859	1	0.77702659
2852703	0	0.63116192
2851849	1	0.96310207
2852294	0	0.93110530
2852652	1	0.91583060
2853253	1	0.89289474
2853327	0	0.17184003
2854198	0	0.14825965
2853706	0	0.05283619
2853191	1	0.67347007
2854106	0	0.23442166
2855556	0	0.06251526
2851706	0	0.49498126
2855917	0	0.04655193
2855895	0	0.42338157
2855259	1	0.98908641
2854100	1	0.90485988
2854261	1	0.86599373
2855661	1	0.99312277
2855968	0	0.18262304
2856262	0	0.45746814
2854863	1	0.40712436
2855530	1	0.94467821
2855920	1	0.44977218
4529576	0	0.21838026
4529038	1	0.95760399
2852568	1	0.99413996
3966820	0	0.79234058
4529092	1	0.86099180
4529107	1	0.83755862
4529144	1	0.71861447
3966235	1	0.79377293
4530753	0	0.96622832
4530255	1	0.98303511
4531250	0	0.05889874
4530787	1	0.82145861
4529819	1	0.99624800
3966513	1	0.89139177
4531194	1	0.59814744
3538373	1	0.78049248
3967103	1	0.82335309
3538682	1	0.75477454
4531638	0	0.49529453
3967590	1	0.64405359
3967985	1	0.95732344
3967673	1	0.46103758
3967661	1	0.99292209
3538852	1	0.93523263
4530755	1	0.97969576
4532308	1	0.96055472
4531702	1	0.97848023
3967497	1	0.62095968
4531401	1	0.92492302
4531859	0	0.67130124
3968191	0	0.67512598
3968084	1	0.96627790
4531924	1	0.98409197
3539632	0	0.21566714
4532427	1	0.84086976
3968124	1	0.99600957
4533712	0	0.16460639
3968709	1	0.97795881
4533249	0	0.34804248
3968480	1	0.96089394
3968439	0	0.09064394
4533862	0	0.05515176
3539613	1	0.89769294
4533521	1	0.96013960
4533336	1	0.92273198
3539803	1	0.84511543
3540227	0	0.63958817
3539892	1	0.99487433
3540255	0	0.76258826
3968452	1	0.95055754
3968808	1	0.94454217
3969291	1	0.34821440
3539196	1	0.81314647
4534235	0	0.31221845
4533947	1	0.95393024
3540547	1	0.84890820
3969367	1	0.73572871
3539898	1	0.99180315
3969422	1	0.72315670
3969265	1	0.70379009
4534905	0	0.47322778
3969792	1	0.97694558
4534353	1	0.93673821
3540844	0	0.79541538
4535221	0	0.34597487
3539865	1	0.95960834
4534853	1	0.99136538
3969881	1	0.83437574
4534158	1	0.99389569
3541314	1	0.99732401
4535586	1	0.67539267
3970973	0	0.59358335
3969717	1	0.83600885
3970319	1	0.52979540
3971306	0	0.26196597
3972068	1	0.97069816
3971903	1	0.63257953
3972868	0	0.11507561
3973253	0	0.58428566
3972520	1	0.98765293
3976146	0	0.55311437
3973430	1	0.99165696
3973273	0	0.93553047
3974474	0	0.21034398
3974189	1	0.36541282
3973762	1	0.98837366
3971565	1	0.94987427
3978872	0	0.24718410
3976598	1	0.91453412
3977583	1	0.33391567
3976306	1	0.26851032
3978112	1	0.86745801
3978943	0	0.15268092
3981336	1	0.91880632
3979403	1	0.88673259
3981727	1	0.99359950
2856817	0	0.39442706
3977672	1	0.90505097
3982544	1	0.29659412
3974831	1	0.82311872
3982910	1	0.96836960
2858211	0	0.52348252
3980482	1	0.53002338
3982576	1	0.79921949
2859079	0	0.56346359
2856861	1	0.97802487
2856569	1	0.98906206
3981418	1	0.99895872
2860046	0	0.67142845
2860406	0	0.95404314
2860340	0	0.15283361
2860140	1	0.73325264
2859632	1	0.98943625
2860761	1	0.77080832
2861821	1	0.97670273
2863370	0	0.33765505
2863543	0	0.36386604
2862963	0	0.09582837
2863670	0	0.25652299
2862999	1	0.44748091
2864448	0	0.74430432
2864538	0	0.45383524
2863512	0	0.12626069
2863914	1	0.98878137
2864057	1	0.87597647
2866483	0	0.84723681
2865830	1	0.98360988
2865253	1	0.98925110
2864598	1	0.96343077
2865582	0	0.14383546
2865634	1	0.76657027
2862498	1	0.86323569
2867136	1	0.87488474
2867251	0	0.84698336
2865842	1	0.93178711
2868779	0	0.65254984
2866840	1	0.72718850
2867824	1	0.96105104
2867871	0	0.14638025
2866581	1	0.99876916
2867598	1	0.21839177
2868813	1	0.90738899
2869183	0	0.64484154
2866306	1	0.70659084
2868855	1	0.91968215
2867348	1	0.87685996
2870229	0	0.98602247
2869693	0	0.50863707
2868740	1	0.88475186
2870799	1	0.98832899
2867715	1	0.99014121
2869786	0	0.54482880
2869848	1	0.94749026
2869481	1	0.98290065
2868990	1	0.73934985
2869013	1	0.92713647
2871256	0	0.45200200
2869911	1	0.98819479
2872194	0	0.52408390
2871900	0	0.29321085
2871219	1	0.50647485
2873272	1	0.98272157
2874045	1	0.90425876
2874274	0	0.36436491
2873944	1	0.34340817
2874194	0	0.52786241
2872419	1	0.99292992
2874100	0	0.14512527
2870969	1	0.70659084
2873279	1	0.91717807
2874080	1	0.52325585
2875108	0	0.19507976
2874671	0	0.69830317
2874376	1	0.99887526
2875097	1	0.55988361
2876872	0	0.46674133
2875775	1	0.95534843
2876540	0	0.35375826
2874506	1	0.67275918
2876916	1	0.95644666
2875518	1	0.99362277
2877402	0	0.06901799
2875790	1	0.97895350
2874524	1	0.86781112
2877028	0	0.39591097
2877390	0	0.10048668
2876963	1	0.94421696
2876305	1	0.62374874
2879192	0	0.45689900
2876329	1	0.99673142
2878894	1	0.97175110
2877854	1	0.82298771
2880631	0	0.94371226
2880466	0	0.75290840
2881420	0	0.06056901
2880097	1	0.71894207
2879967	1	0.96183034
2880296	1	0.89269701
2879902	1	0.86891198
2878069	1	0.95862532
2879840	1	0.97816938
2879771	1	0.97790916
2882185	1	0.98726029
2875341	1	0.98597932
2881921	1	0.97015836
2883733	0	0.46074356
2883098	1	0.87260183
2883574	0	0.41688192
2875544	1	0.76103015
3100098	0	0.90940549
2882240	1	0.93296036
2882883	1	0.66018588
2884769	1	0.95634140
2884737	1	0.94495099
2884532	1	0.14719465
3718255	1	0.99726578
3646231	1	0.95049140
3805478	1	0.86448041
2884627	1	0.98043193
3909905	1	0.98203190
3863416	0	0.18512629
3909570	0	0.31277073
4819361	0	0.64879334
3909104	1	0.77226314
4040656	1	0.99447907
4042399	1	0.99013713
2885211	1	0.96275739
2885592	1	0.54664733
4579711	1	0.80386727
4603092	1	0.88805884
4628973	1	0.77829212
2887070	0	0.14962528
2886050	1	0.98510574
2887847	1	0.85718394
2888217	0	0.49499326
2886826	1	0.98730466
2885293	1	0.58477724
2886954	1	0.98899509
2888070	0	0.32001744
2889266	0	0.18333025
2886527	1	0.79587383
2888817	1	0.96909168
2885310	1	0.99205202
2887291	0	0.29435991
2890144	0	0.71862294
2887684	1	0.94788862
2891062	0	0.30748739
2890968	0	0.26629178
2889972	1	0.95413477
2890612	0	0.78968196
2886631	1	0.74292620
2889566	1	0.94022400
2889919	0	0.83709057
2891134	0	0.08120772
2891503	0	0.85682560
2890723	1	0.99350716
2889446	1	0.83559656
2892604	0	0.42367692
2885616	1	0.92656183
2893001	0	0.71282224
2892938	0	0.27121771
2893046	1	0.92731108
2895693	0	0.72430621
2894123	0	0.29254797
2892858	1	0.94088733
2893076	1	0.90859841
2893332	1	0.95137011
2895484	1	0.81092325
2897321	0	0.84997178
2896312	0	0.30787697
2892530	1	0.99351373
2897424	1	0.93036751
2897452	1	0.94317665
2898334	0	0.96515655
2898305	1	0.99245349
2899414	1	0.96074509
2897482	1	0.94225932
2892996	1	0.94320244
2897986	0	0.76262959
2899948	0	0.45844138
2899118	1	0.30748739
2897852	1	0.82817878
2901270	0	0.57626691
2901324	0	0.46788122
2901989	1	0.92731853
2902072	1	0.77793607
2902477	0	0.69209353
2900847	1	0.83257160
2902860	0	0.73788104
2902687	1	0.77654936
2900289	1	0.78582132
2904017	0	0.46223317
2900126	1	0.99109750
2903370	1	0.51509690
2904769	0	0.73788104
2904863	0	0.56005391
2903405	1	0.82710653
2902817	0	0.04276090
2903823	1	0.93793505
2901909	1	0.30910180
2904030	1	0.83701680
2905910	0	0.93875273
2905534	1	0.92900608
2907288	0	0.21839177
2904749	1	0.97596157
2907679	0	0.86004992
2908557	0	0.42911625
2908349	0	0.98489589
2908574	0	0.20558038
2907159	1	0.74515214
2905854	1	0.97282805
2909228	1	0.75526971
2908718	0	0.32368515
2908683	1	0.97321062
2908944	1	0.59128235
2907714	1	0.92900608
2908409	1	0.94058493
2910374	0	0.29056050
2908350	1	0.97544832
2909680	1	0.45117543
2909403	1	0.84397515
2908946	1	0.74603432
2907660	1	0.73864650
2908625	1	0.75864502
2911069	1	0.96705281
2911151	0	0.51690416
2911716	0	0.95188903
2910759	1	0.96435411
2907770	1	0.90994883
2912092	1	0.57219420
2912510	1	0.83093445
2913519	0	0.55758014
2913445	0	0.74259582
2913000	1	0.97958199
2914898	0	0.97944118
2914790	0	0.74529575
2916157	0	0.17425528
2912698	1	0.42057457
2915577	1	0.93749684
2915859	1	0.71964909
2916778	0	0.19600293
2915927	1	0.98739349
2917578	1	0.99577255
2915971	1	0.93744318
2917205	1	0.98072236
2916708	1	0.98619942
2917405	1	0.34345702
2917922	0	0.89124522
2917726	1	0.97475405
2918101	1	0.98681981
2917284	1	0.99442882
2918588	0	0.66528672
2919470	1	0.98219746
2919562	1	0.59260281
2917915	1	0.81094057
2919291	1	0.90102875
2918209	1	0.96459082
2919455	1	0.77356020
2919948	1	0.95766834
2920495	0	0.96084512
2919478	1	0.95823397
2918181	1	0.98298348
2920539	0	0.11256186
2918136	0	0.25455647
2920414	1	0.99156507
2920093	1	0.91815893
2922047	0	0.34520957
2921369	0	0.10451548
2921630	1	0.99106216
2923741	0	0.15382455
2921706	0	0.10140975
2921880	0	0.10129524
2920423	1	0.82108651
2924048	1	0.87892265
2921921	1	0.94362821
2922054	1	0.31899103
2924358	0	0.36754925
2925095	0	0.96084512
2925479	0	0.26605916
2925275	0	0.47916699
2925065	1	0.89655273
2924503	1	0.98520221
2925520	1	0.98198082
2927233	0	0.70987984
2927031	0	0.45693437
2927998	0	0.10044922
2927237	0	0.18436503
2928704	0	0.46071763
2926973	1	0.97811759
2926680	1	0.92962496
2924758	1	0.70881888
2928967	0	0.37218549
2928072	1	0.58967962
2929123	0	0.24227233
2925700	1	0.93910669
2924997	1	0.90046444
2927289	0	0.20741897
2928811	1	0.93088233
2929870	1	0.95114761
2929557	1	0.90619516
2930009	1	0.99777983
2930252	0	0.54424204
2927780	0	0.23181112
2929560	1	0.58535268
3718508	0	0.99563649
2930355	1	0.88081732
4003604	0	0.64942209
2930423	0	0.05294488
3805792	1	0.99448741
2930500	1	0.98593935
4003352	1	0.99805852
3910815	1	0.86012137
3833765	1	0.29175833
3910527	1	0.93111437
3910627	1	0.92053925
2930779	0	0.75870103
4603547	0	0.86619257
3833827	0	0.67914275
4549911	1	0.80472472
2931307	1	0.26546023
2931492	0	0.63943331
2931281	0	0.62438345
2931597	1	0.98621281
2932285	0	0.97231418
2932233	1	0.97792213
2932468	0	0.15610542
2932773	1	0.99082533
2931173	1	0.16670440
2933062	0	0.20723488
2932826	0	0.05011162
2933239	0	0.62597321
2932605	1	0.99114413
