site_id,url,domain,seed_tier,seed_type,layer,priority_tier,region,source_type,signal_role,notes,seed_origin,robots_url,robots_status,robots_has_sitemap,candidate_sitemap_count,accessible_sitemap_count,accessible_sitemaps,accessible_feed_count,accessible_feeds,historical_strategy,expected_coverage,wayback_fallback,seed_has_archive_hint
abc_es,http://www.abc.es/internacional/,abc.es,B,national_media,media_narrative,P1,europe,national_major_media,narrative_and_agenda,good Spain supplement,http://www.abc.es,http://www.abc.es/robots.txt,200,0,8,3,"[""https://www.abc.es/sitemap.xml"", ""https://www.abc.es/sitemap-index.xml"", ""https://www.abc.es/sitemap_news.xml""]",0,[],direct_sitemap,medium,1,0
abc_net_au,http://www.abc.net.au/news/justin,abc.net.au,A,major_media,media_narrative,P0,asia_pacific,public_broadcaster,narrative_and_agenda,public broadcaster with strong Asia coverage,http://www.abc.net.au,http://www.abc.net.au/robots.txt,200,1,9,1,"[""https://www.abc.net.au/sitemaps/sitemap-index.xml.gz""]",0,[],direct_sitemap,medium,1,0
abcnews_go_com,https://abcnews.go.com/international,abcnews.go.com,B,major_media,media_narrative,P1,north_america,global_major_media,narrative_and_agenda,major US broadcaster; use international desk rather than climate alerts page,https://abcnews.go.com,https://abcnews.go.com/robots.txt,200,1,11,3,"[""https://abcnews.com/xmap"", ""https://abcnews.com/xmlLatestStories"", ""https://abcnews.com/xmlLatestVideos""]",0,[],direct_sitemap,medium,1,0
afp_global,https://www.afp.com/en,afp.com,A,wire,wire_fast,P0,global,wire_service,event_baseline,global wire with wide geographic reach,https://www.afp.com,https://www.afp.com/robots.txt,200,0,8,1,"[""https://www.afp.com/sitemap.xml""]",1,"[""https://www.afp.com/rss.xml""]",direct_sitemap,medium,1,0
african_union,https://au.int/en/happening,au.int,A,official,official_direct,P1,africa,international_organization,official_position,official African Union news and press releases,https://au.int,https://au.int/robots.txt,200,0,8,0,[],1,"[""https://au.int/rss.xml""]",feed_plus_archive,medium,1,0
africanews,https://www.africanews.com/tag/politics/,africanews.com,B,regional_media,media_narrative,P1,africa,regional_major_media,narrative_and_agenda,high-value pan-African news source,https://www.africanews.com,https://www.africanews.com/robots.txt,200,1,9,1,"[""https://www.africanews.com/sitemaps/en/sitemap.xml""]",1,"[""https://www.africanews.com/feed/""]",direct_sitemap,medium,1,0
ahram_online_politics,https://english.ahram.org.eg/Category/1/64/Egypt/Politics-.aspx,english.ahram.org.eg,B,national_media,media_narrative,P1,middle_east,national_major_media,narrative_and_agenda,major Egypt English-language politics desk,https://english.ahram.org.eg,https://english.ahram.org.eg/robots.txt,200,1,9,0,[],0,[],gdelt_or_wayback_plus_direct_fetch,low,1,0
aljazeera_net,https://www.aljazeera.net/news/,aljazeera.net,A,major_media,media_narrative,P0,middle_east,global_major_media,narrative_and_agenda,major source for Middle East coverage,https://www.aljazeera.net,https://www.aljazeera.net/robots.txt,200,1,12,6,"[""https://www.aljazeera.net/news-sitemap.xml"", ""https://www.aljazeera.net/sitemaps/article-archive.xml"", ""https://www.aljazeera.net/sitemaps/article-new.xml"", ""https://www.aljazeera.net/sitemaps/video-archive.xml"", ""https://www.aljazeera.net/sitemaps/video-new.xml"", ""https://www.aljazeera.net/sitemap.xml""]",2,"[""https://www.aljazeera.net/aljazeerarss/a7c186be-1baa-4bd4-9d80-a84db769f779/73d0e1b4-532f-45ef-b135-bfdff8b8cab9"", ""https://www.aljazeera.net/aljazeerarss/a7c186be-1baa-4bd4-9d80-a84db769f779/73d0e1b4-532f-45ef-b135-bfdff8b8cab9""]",direct_sitemap,high,1,0
ansa_it,https://www.ansa.it/sito/notizie/topnews/index.shtml,ansa.it,A,wire,wire_fast,P0,europe,wire_service,event_baseline,major Italian wire,https://www.ansa.it,https://www.ansa.it/robots.txt,200,1,9,1,"[""https://www.ansa.it/sito/sitemaps/sito_sitemap_index.xml""]",1,"[""https://www.ansa.it/rss.xml""]",direct_sitemap,high,1,0
ap_world,https://apnews.com/world-news,apnews.com,A,wire,wire_fast,P0,global,wire_service,event_baseline,global wire and factual baseline source,https://apnews.com,https://apnews.com/robots.txt,200,1,13,11,"[""https://apnews.com/ap-sitemap.xml"", ""https://apnews.com/news-sitemap-content.xml"", ""https://apnews.com/hubs-sitemap-content.xml"", ""https://apnews.com/video-sitemap.xml"", ""https://assets.apnews.com/interactive/f38090eb-11ee-3d54-875e-7d0e40cdfdf0/dist-production/sitemap-index.xml"", ""https://apnews.com/ap-sitemap.xml"", ""https://apnews.com/ap-sitemap.xml"", ""https://apnews.com/ap-sitemap.xml"", ""https://apnews.com/news-sitemap.xml"", ""https://apnews.com/ap-sitemap.xml"", ""https://apnews.com/ap-sitemap.xml""]",0,[],direct_sitemap,high,1,0
arab_news,https://www.arabnews.com/,arabnews.com,B,national_media,media_narrative,P1,middle_east,national_major_media,narrative_and_agenda,Saudi-based English source with regional political coverage,https://www.arabnews.com,https://www.arabnews.com/robots.txt,200,1,9,2,"[""https://www.arabnews.com/sitemap.xml"", ""https://www.arabnews.com/googlenews.xml""]",1,"[""https://www.arabnews.com/rss.xml""]",direct_sitemap,medium,1,0
argentina_cancilleria,https://www.cancilleria.gob.ar/en/news,cancilleria.gob.ar,A,official,official_direct,P1,latin_america,foreign_ministry,official_position,official Argentina foreign ministry news,https://www.cancilleria.gob.ar,https://www.cancilleria.gob.ar/robots.txt,200,0,8,0,[],1,"[""https://www.cancilleria.gob.ar/rss.xml""]",feed_plus_archive,medium,1,0
arynews_tv,https://arynews.tv/category/pakistan,arynews.tv,B,national_media,media_narrative,P1,south_asia,national_major_media,narrative_and_agenda,important Pakistan source,https://arynews.tv,https://arynews.tv/robots.txt,200,1,11,3,"[""https://arynews.tv/sitemap/news_sitemap.xml"", ""https://arynews.tv/sitemap_custom_pages.xml"", ""https://arynews.tv/sitemap_namaz.xml""]",1,"[""https://arynews.tv/feed""]",direct_sitemap,medium,1,0
asahi_com,https://www.asahi.com/politics/?iref=pc_gnavi,asahi.com,A,national_media,media_narrative,P0,asia,national_major_media,narrative_and_agenda,top Japanese daily,https://www.asahi.com,https://www.asahi.com/robots.txt,200,1,8,1,"[""https://www.asahi.com/sitemap.xml""]",0,[],direct_sitemap,medium,1,0
asean_news,https://asean.org/news/,asean.org,A,official,official_direct,P1,asia,international_organization,official_position,official ASEAN institutional and summit signals,https://asean.org,https://asean.org/robots.txt,200,0,8,4,"[""https://asean.org/sitemap_index.xml"", ""https://asean.org/sitemap_index.xml"", ""https://asean.org/post-sitemap.xml"", ""https://asean.org/page-sitemap.xml""]",1,"[""https://asean.org/feed/""]",direct_sitemap,high,1,0
asiaone_com,http://www.asiaone.com/world,asiaone.com,B,regional_media,media_narrative,P1,asia,regional_major_media,narrative_and_agenda,regional aggregator with useful coverage,http://www.asiaone.com,http://www.asiaone.com/robots.txt,200,1,10,3,"[""https://www.asiaone.com/googlenews.xml"", ""https://www.asiaone.com/sitemap.xml"", ""https://www.asiaone.com/sitemap.xml""]",0,[],direct_sitemap,medium,1,0
australia_dfat,https://www.dfat.gov.au/news-speeches-and-media,dfat.gov.au,A,official,official_direct,P1,asia_pacific,foreign_ministry,official_position,official Australian foreign ministry signal,https://www.dfat.gov.au,https://www.dfat.gov.au/robots.txt,0,0,8,0,[],0,[],section_archive_plus_wayback,medium,1,1
bangkok_post,https://www.bangkokpost.com/thailand,bangkokpost.com,B,national_media,media_narrative,P1,asia,national_major_media,narrative_and_agenda,major Thailand English-language outlet with strong domestic politics coverage,https://www.bangkokpost.com,https://www.bangkokpost.com/robots.txt,200,1,8,3,"[""https://www.bangkokpost.com/sitemap.xml"", ""https://www.bangkokpost.com/sitemap_news.xml"", ""https://www.bangkokpost.com/sitemap_index.xml""]",0,[],direct_sitemap,high,1,0
