site_id,url,domain,seed_tier,seed_type,layer,priority_tier,region,source_type,signal_role,notes
africanews,https://www.africanews.com/tag/politics/,africanews.com,B,regional_media,media_narrative,P1,africa,regional_major_media,narrative_and_agenda,high-value pan-African news source
dailymaverick,https://www.dailymaverick.co.za/section/world/,dailymaverick.co.za,B,national_media,media_narrative,P1,africa,national_major_media,narrative_and_agenda,high-quality South Africa outlet with strong politics coverage
east_african,https://www.theeastafrican.co.ke/tea/news,theeastafrican.co.ke,B,regional_media,media_narrative,P1,africa,regional_major_media,narrative_and_agenda,regional East African policy and geopolitics coverage
nation_africa,https://nation.africa/kenya/news,nation.africa,B,national_media,media_narrative,P1,africa,national_major_media,narrative_and_agenda,major East Africa newsroom
news24_politics,https://www.news24.com/politics,news24.com,B,national_media,media_narrative,P1,africa,national_major_media,narrative_and_agenda,major South Africa politics desk with strong domestic governance coverage
premium_times,https://www.premiumtimesng.com/,premiumtimesng.com,B,national_media,media_narrative,P1,africa,national_major_media,narrative_and_agenda,important Nigeria national and governance source
rfi_english,https://www.rfi.fr/en/,rfi.fr,B,major_media,media_narrative,P1,africa,public_broadcaster,narrative_and_agenda,valuable Francophone Africa signal source with broad regional reach
asiaone_com,http://www.asiaone.com/world,asiaone.com,B,regional_media,media_narrative,P1,asia,regional_major_media,narrative_and_agenda,regional aggregator with useful coverage
bangkok_post,https://www.bangkokpost.com/thailand,bangkokpost.com,B,national_media,media_narrative,P1,asia,national_major_media,narrative_and_agenda,major Thailand English-language outlet with strong domestic politics coverage
bangkokbiznews_com,http://www.bangkokbiznews.com/world/geopolitics,bangkokbiznews.com,B,national_media,media_narrative,P1,asia,national_major_media,narrative_and_agenda,strong geopolitics section
bisnis_com,http://www.bisnis.com/,bisnis.com,B,national_media,media_narrative,P1,asia,national_major_media,narrative_and_agenda,business and policy coverage
businesstimes_com_sg,http://www.businesstimes.com.sg/singapore,businesstimes.com.sg,B,national_media,media_narrative,P1,asia,business_media,narrative_and_agenda,strong policy and macro angle
chinatimes_com,https://www.chinatimes.com/realtimenews/,chinatimes.com,B,national_media,media_narrative,P1,asia,national_major_media,narrative_and_agenda,important Taiwan source
detik_com,https://news.detik.com/,detik.com,B,national_media,media_narrative,P1,asia,national_major_media,narrative_and_agenda,major Indonesia source
detiknews_com,https://news.detik.com/berita,detik.com,B,national_media,media_narrative,P1,asia,national_major_media,narrative_and_agenda,major Indonesia news section
