review_rank,domain,source_name,country,region,source_type,ownership_type,geo_alignment,political_leaning,credibility_tier,label_confidence,review_status,article_count_snapshot,evidence_url,evidence_note,missing_fields,review_priority,proposed_ownership_type,proposed_geo_alignment,proposed_political_leaning,proposed_credibility_tier,proposed_label_confidence,proposed_review_status,evidence_url_1,evidence_url_2,review_note,reviewer,reviewed_at
1,jpost.com,The Jerusalem Post,Israel,middle_east,national_major_media,unknown,middle_east,center,high,high,reviewed,26980,https://ground.news/interest/jerusalem-post,seeded_from_historical_wave1_targets; ground_news_rating_v1: Ground News lists Jerusalem Post as Center and High factuality,ownership_type,P2,,,,,,,,,,,
2,bangkokbiznews.com,Bangkok Biz News,Thailand,asia,national_major_media,unknown,global_south,unknown,unknown,low,seeded,26905,http://www.bangkokbiznews.com,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label,"ownership_type,political_leaning,credibility_tier,review_status",P0,,,,,,,,,,,
3,straitstimes.com,The Straits Times,Singapore,asia,national_major_media,unknown,global_south,center_right,high,high,reviewed,26647,https://ground.news/interest/the-straits-times_9bb9e6,seeded_from_historical_wave1_targets; ground_news_rating_v1: Ground News lists The Straits Times as Lean Right and High factuality,ownership_type,P2,,,,,,,,,,,
4,businesstimes.com.sg,The Business Times,Singapore,asia,business_media,unknown,global_south,unknown,unknown,low,seeded,26622,http://www.businesstimes.com.sg,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label,"ownership_type,political_leaning,credibility_tier,review_status",P0,,,,,,,,,,,
5,thenationalnews.com,The National,United Arab Emirates,middle_east,national_major_media,unknown,middle_east,center,high,medium,reviewed,26553,https://ground.news/interest/the-national_7f9810,ground_news_rating_v1: Ground News page for The National lists Center and High factuality; medium confidence due same-name-source ambiguity,ownership_type,P2,,,,,,,,,,,
6,hindustantimes.com,Hindustan Times,India,south_asia,national_major_media,unknown,global_south,center,medium,high,reviewed,26416,https://ground.news/interest/hindustan-times,seeded_from_historical_wave1_targets; ground_news_rating_v1: Ground News lists Hindustan Times as Center and Mixed factuality,ownership_type,P2,,,,,,,,,,,
7,timesofindia.indiatimes.com,Times of India,India,south_asia,national_major_media,unknown,global_south,center_right,medium,high,reviewed,26285,https://ground.news/interest/times-of-india,seeded_from_historical_wave1_targets; ground_news_rating_v1: Ground News lists Times of India as Lean Right and Mixed factuality,ownership_type,P2,,,,,,,,,,,
8,freemalaysiatoday.com,Free Malaysia Today,Malaysia,asia,national_major_media,unknown,global_south,center_right,medium,high,reviewed,26276,https://mediabiasfactcheck.com/free-malaysia-today-bias-and-credibility/,seeded_from_historical_wave1_targets; mbfc_rating_v1: Media Bias/Fact Check lists Free Malaysia Today as Right-Center and Mixed factuality,ownership_type,P2,,,,,,,,,,,
9,zaobao.com,Lianhe Zaobao,Singapore,asia,regional_major_media,unknown,global_south,unknown,unknown,low,seeded,26200,http://www.zaobao.com,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label,"ownership_type,political_leaning,credibility_tier,review_status",P0,,,,,,,,,,,
10,scmp.com,SCMP,Hong Kong,asia,regional_major_media,unknown,china,center,high,high,reviewed,25207,https://ground.news/interest/south-china-morning-post,seeded_from_historical_wave1_targets; ground_news_rating_v1: Ground News lists South China Morning Post as Center and High factuality,ownership_type,P2,,,,,,,,,,,
11,haberturk.com,Haberturk,Turkey,middle_east,national_major_media,unknown,middle_east,unknown,unknown,low,seeded,25156,https://www.haberturk.com,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label,"ownership_type,political_leaning,credibility_tier,review_status",P0,,,,,,,,,,,
12,lanacion.com.ar,La Nacion,Argentina,latin_america,national_major_media,unknown,global_south,center_right,high,high,reviewed,24990,https://ground.news/interest/la-nacion_7042bc,seeded_from_historical_wave1_targets; ground_news_rating_v1: Ground News lists La Nacion as Lean Right and Very High factuality,ownership_type,P2,,,,,,,,,,,
13,csmonitor.com,The Christian Science Monitor,United States,global,global_major_media,unknown,western,center,high,high,reviewed,24367,https://ground.news/interest/the-christian-science-monitor,seeded_from_historical_wave1_targets; ground_news_rating_v1: Ground News lists The Christian Science Monitor as Center and Very High factuality,ownership_type,P2,,,,,,,,,,,
14,clarin.com,Clarin,Argentina,latin_america,national_major_media,unknown,global_south,center_right,high,high,reviewed,23797,https://ground.news/interest/clarin_5fa6ca,seeded_from_historical_wave1_targets; ground_news_rating_v1: Ground News lists Clarin as Lean Right and High factuality,ownership_type,P2,,,,,,,,,,,
15,asiaone.com,AsiaOne,Singapore,asia,regional_major_media,unknown,global_south,unknown,unknown,low,seeded,18457,http://www.asiaone.com,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label,"ownership_type,political_leaning,credibility_tier,review_status",P1,,,,,,,,,,,
16,nationthailand.com,The Nation Thailand,Thailand,asia,national_major_media,unknown,global_south,unknown,unknown,low,seeded,15436,https://www.nationthailand.com,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label,"ownership_type,political_leaning,credibility_tier,review_status",P1,,,,,,,,,,,
17,lefigaro.fr,Le Figaro,France,europe,national_major_media,unknown,western,center_right,high,high,reviewed,15330,https://ground.news/interest/le-figaro,seeded_from_historical_wave1_targets; ground_news_rating_v1: Ground News lists Le Figaro as Lean Right and High factuality,ownership_type,P2,,,,,,,,,,,
18,eltiempo.com,El Tiempo,Colombia,latin_america,national_major_media,unknown,global_south,unknown,unknown,low,seeded,13569,https://www.eltiempo.com,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label,"ownership_type,political_leaning,credibility_tier,review_status",P1,,,,,,,,,,,
