site_id,domain,layer,priority_tier,region,source_type,preferred_entry,signal_role,origin,notes
reuters_world,reuters.com,wire_fast,P0,global,wire_service,https://www.reuters.com/world/,event_baseline,strategic_addition,global wire baseline and high-volume first report source
ap_world,apnews.com,wire_fast,P0,global,wire_service,https://apnews.com/world-news,event_baseline,strategic_addition,global wire and factual baseline source
afp_global,afp.com,wire_fast,P0,global,wire_service,https://www.afp.com/en,event_baseline,strategic_addition,global wire with wide geographic reach
yonhap_english,en.yna.co.kr,wire_fast,P1,asia,wire_service,https://en.yna.co.kr/,event_baseline,strategic_addition,major Korean wire useful for Northeast Asia
xinhua_english,english.news.cn,wire_fast,P1,asia,state_media,https://english.news.cn/,event_baseline,strategic_addition,official China wire perspective in English
dw_english,dw.com,media_narrative,P1,europe,public_broadcaster,https://www.dw.com/en/top-stories/s-9097,narrative_and_agenda,strategic_addition,global public broadcaster with strong world desk
france24_english,france24.com,media_narrative,P1,europe,public_broadcaster,https://www.france24.com/en/,narrative_and_agenda,strategic_addition,international public broadcaster with strong Africa and Middle East coverage
rfi_english,rfi.fr,media_narrative,P2,africa,public_broadcaster,https://www.rfi.fr/en/,narrative_and_agenda,strategic_addition,valuable Francophone Africa signal source
euronews,euronews.com,media_narrative,P2,europe,regional_major_media,https://www.euronews.com/news/international,narrative_and_agenda,strategic_addition,regional European perspective and multilingual reach
africanews,africanews.com,media_narrative,P1,africa,regional_major_media,https://www.africanews.com/tag/politics/,narrative_and_agenda,strategic_addition,high-value pan-African news source
allafrica,allafrica.com,media_narrative,P2,africa,regional_network,https://allafrica.com/latest/,narrative_and_agenda,strategic_addition,pan-African aggregation useful for country coverage expansion
dailymaverick,dailymaverick.co.za,media_narrative,P1,africa,national_major_media,https://www.dailymaverick.co.za/section/world/,narrative_and_agenda,strategic_addition,high-quality South Africa outlet with strong politics coverage
mail_guardian,mg.co.za,media_narrative,P2,africa,national_major_media,https://mg.co.za/,narrative_and_agenda,strategic_addition,South Africa perspective and investigative value
premium_times,premiumtimesng.com,media_narrative,P1,africa,national_major_media,https://www.premiumtimesng.com/,narrative_and_agenda,strategic_addition,important Nigeria national and governance source
nation_africa,nation.africa,media_narrative,P1,africa,national_major_media,https://nation.africa/kenya/news,narrative_and_agenda,strategic_addition,major East Africa newsroom
east_african,theeastafrican.co.ke,media_narrative,P2,africa,regional_major_media,https://www.theeastafrican.co.ke/tea/news,narrative_and_agenda,strategic_addition,regional East African policy and geopolitics coverage
clarin_mundo,clarin.com,media_narrative,P1,latin_america,national_major_media,https://www.clarin.com/mundo/,narrative_and_agenda,strategic_addition,major Argentina outlet with regional reach
folha_mundo,folha.uol.com.br,media_narrative,P1,latin_america,national_major_media,https://www1.folha.uol.com.br/mundo/,narrative_and_agenda,strategic_addition,major Brazil outlet with international desk
el_tiempo_mundo,eltiempo.com,media_narrative,P1,latin_america,national_major_media,https://www.eltiempo.com/mundo,narrative_and_agenda,strategic_addition,major Colombia outlet with Latin America coverage
el_universal_mx,eluniversal.com.mx,media_narrative,P1,latin_america,national_major_media,https://www.eluniversal.com.mx/mundo/,narrative_and_agenda,strategic_addition,major Mexico outlet with world coverage
el_comercio_pe,elcomercio.pe,media_narrative,P1,latin_america,national_major_media,https://elcomercio.pe/mundo/,narrative_and_agenda,strategic_addition,major Peru outlet with world desk
latercera_cl,latercera.com,media_narrative,P1,latin_america,national_major_media,https://www.latercera.com/canal/politica/,narrative_and_agenda,strategic_addition,major Chile politics coverage
the_national_uae,thenationalnews.com,media_narrative,P1,middle_east,national_major_media,https://www.thenationalnews.com/world/,narrative_and_agenda,strategic_addition,high-quality UAE-based regional and global coverage
arab_news,arabnews.com,media_narrative,P1,middle_east,national_major_media,https://www.arabnews.com/,narrative_and_agenda,strategic_addition,Saudi-based English source with regional political coverage
the_hindu_world,thehindu.com,media_narrative,P1,south_asia,national_major_media,https://www.thehindu.com/news/international/,narrative_and_agenda,strategic_addition,major India outlet with strong foreign desk
