site_id,url,domain,priority_tier,quality_tier,source_type,region,action,notes
un_org,https://news.un.org/en/news,un.org,P0,A,official_io,global,primary_crawl,official multilateral news source
who_int,https://www.who.int/myanmar/news,who.int,P1,B,official_io,global,secondary_crawl,official but health focused
bundesregierung_de,https://www.bundesregierung.de/breg-de/bundesregierung,bundesregierung.de,P1,B,official_government,europe,secondary_crawl,official government newsroom
na_gov_la,http://na.gov.la/%e0%ba%99%e0%ba%b4%e0%ba%95%e0%ba%b4%e0%ba%81%e0%ba%b3/%e0%ba%9a%e0%ba%b1%e0%ba%99%e0%ba%94%e0%ba%b2%e0%ba%81%e0%ba%bb%e0%ba%94%e0%bb%9d%e0%ba%b2%e0%ba%8d/,na.gov.la,P2,C,official_government,asia,selective_crawl,official but narrow parliamentary focus
bkn_go_id,https://www.bkn.go.id/publikasi/akuntabilitas-kinerja/rencana-kerja-bkn/,bkn.go.id,P2,C,official_government,asia,selective_crawl,official but administrative focus
kemhan_go_id,http://www.kemhan.go.id/category/foto,kemhan.go.id,P2,C,official_government,asia,selective_crawl,defense ministry source with limited structured text
kkp_go_id,http://www.kkp.go.id/news.html,kkp.go.id,P2,C,official_government,asia,selective_crawl,official agency with partial policy relevance
komisiyudisial_go_id,http://www.komisiyudisial.go.id/frontend/news,komisiyudisial.go.id,P2,C,official_government,asia,selective_crawl,official judiciary source not core geopolitics
kemenpora_go_id,http://www.kemenpora.go.id/berita,kemenpora.go.id,P2,C,official_government,asia,selective_crawl,official but sports ministry focus
pertanian_go_id,http://www.pertanian.go.id/?show=news&act=view_all,pertanian.go.id,P2,C,official_government,asia,selective_crawl,official agriculture source
mot_go_th,https://ops.mot.go.th/,ops.mot.go.th,P2,C,official_government,asia,selective_crawl,transport ministry source
wafa_ps,https://wafa.ps/Pages/LastNews,wafa.ps,P0,A,state_media,middle_east,primary_crawl,official Palestinian news agency
irna_ir,https://www.irna.ir/rss,irna.ir,P0,A,state_media,middle_east,primary_crawl,official Iranian news agency
tass_com,https://tass.com/middle-east-conflict,tass.com,P0,A,state_media,europe,primary_crawl,major state news agency with strong geopolitical coverage
bernama_com,https://www.bernama.com/en/world/,bernama.com,P0,A,state_media,asia,primary_crawl,national wire with strong region coverage
rtve_es,http://www.rtve.es/noticias/ultimas-noticias/,rtve.es,P0,A,public_broadcaster,europe,primary_crawl,public broadcaster with broad coverage
bbc_com,https://www.bbc.com/news,bbc.com,P0,A,global_major_media,global,primary_crawl,high quality global coverage
abc_net_au,http://www.abc.net.au/news/justin,abc.net.au,P0,A,public_broadcaster,asia_pacific,primary_crawl,public broadcaster with strong Asia coverage
aljazeera_net,https://www.aljazeera.net/news/,aljazeera.net,P0,A,global_major_media,middle_east,primary_crawl,major source for Middle East coverage
ansa_it,https://www.ansa.it/sito/notizie/topnews/index.shtml,ansa.it,P0,A,wire_service,europe,primary_crawl,major Italian wire
asahi_com,https://www.asahi.com/politics/?iref=pc_gnavi,asahi.com,P0,A,national_major_media,asia,primary_crawl,top Japanese daily
cbc_ca,http://www.cbc.ca/news/world,cbc.ca,P0,A,public_broadcaster,north_america,primary_crawl,high quality public broadcaster
cbsnews_com,http://www.cbsnews.com/world/,cbsnews.com,P0,A,global_major_media,north_america,primary_crawl,strong general international coverage
channelnewsasia_com,http://www.channelnewsasia.com/latest-news,channelnewsasia.com,P0,A,regional_major_media,asia,primary_crawl,excellent Southeast Asia and China coverage
csmonitor_com,http://www.csmonitor.com/The-Culture/Faith-Religion,csmonitor.com,P1,B,global_major_media,global,secondary_crawl,use domain but replace weak section URL
dawnnews_tv,https://www.dawnnews.tv/pakistan,dawnnews.tv,P0,A,national_major_media,south_asia,primary_crawl,important Pakistan source
efe_com,https://www.efe.com/efe/espana/1/inicio-america/,efe.com,P1,B,wire_service,latin_america,secondary_crawl,valuable wire but path should be tuned
elmundo_es,https://www.elmundo.es/internacional.html,elmundo.es,P0,A,national_major_media,europe,primary_crawl,major Spanish daily
elpais_com,https://elpais.com/internacional/,elpais.com,P0,A,national_major_media,europe,primary_crawl,major Spanish global desk
faz_net,https://www.faz.net/aktuell/politik/,faz.net,P0,A,national_major_media,europe,primary_crawl,major German paper
freemalaysiatoday_com,http://www.freemalaysiatoday.com/news,freemalaysiatoday.com,P0,A,national_major_media,asia,primary_crawl,high update frequency
