site_id,domain,priority_tier,quality_tier,source_type,region,batch,preferred_crawl_entry,original_url,notes
abc_es,abc.es,P1,B,national_major_media,europe,batch_6_global_expansion,http://www.abc.es/internacional/,http://www.abc.es/internacional/,good Spain supplement
abc_net_au,abc.net.au,P0,A,public_broadcaster,asia_pacific,batch_3_global_and_western,http://www.abc.net.au/news/justin,http://www.abc.net.au/news/justin,public broadcaster with strong Asia coverage
abcnews_go_com,abcnews.go.com,P1,B,global_major_media,north_america,batch_6_global_expansion,https://abcnews.go.com/international,http://abcnews.go.com/alerts/climatechange/,major US broadcaster; use international desk rather than climate alerts page
aljazeera_net,aljazeera.net,P0,A,global_major_media,middle_east,batch_2_asia_middle_east,https://www.aljazeera.net/news/,https://www.aljazeera.net/news/,major source for Middle East coverage
ansa_it,ansa.it,P0,A,wire_service,europe,batch_3_global_and_western,https://www.ansa.it/sito/notizie/topnews/index.shtml,https://www.ansa.it/sito/notizie/topnews/index.shtml,major Italian wire
arynews_tv,arynews.tv,P1,B,national_major_media,south_asia,batch_6_global_expansion,https://arynews.tv/category/pakistan,https://arynews.tv/category/pakistan,important Pakistan source
asahi_com,asahi.com,P0,A,national_major_media,asia,batch_2_asia_middle_east,https://www.asahi.com/politics/?iref=pc_gnavi,https://www.asahi.com/politics/?iref=pc_gnavi,top Japanese daily
asiaone_com,asiaone.com,P1,B,regional_major_media,asia,batch_5_asia_expansion,http://www.asiaone.com/world,http://www.asiaone.com/world,regional aggregator with useful coverage
bangkokbiznews_com,bangkokbiznews.com,P1,B,national_major_media,asia,batch_5_asia_expansion,http://www.bangkokbiznews.com/world/geopolitics,http://www.bangkokbiznews.com/world/geopolitics,strong geopolitics section
bbc_com,bbc.com,P0,A,global_major_media,global,batch_3_global_and_western,https://www.bbc.com/news,https://www.bbc.com/news,high quality global coverage
bernama_com,bernama.com,P0,A,state_media,asia,batch_1_official_and_state,https://www.bernama.com/en/world/,https://www.bernama.com/en/world/,national wire with strong region coverage
bisnis_com,bisnis.com,P1,B,national_major_media,asia,batch_5_asia_expansion,http://www.bisnis.com/,http://www.bisnis.com/,business and policy coverage
bundesregierung_de,bundesregierung.de,P1,B,official_government,europe,batch_6_global_expansion,https://www.bundesregierung.de/breg-de/bundesregierung,https://www.bundesregierung.de/breg-de/bundesregierung,official government newsroom
businesstimes_com_sg,businesstimes.com.sg,P1,B,business_media,asia,batch_5_asia_expansion,http://www.businesstimes.com.sg/singapore,http://www.businesstimes.com.sg/singapore,strong policy and macro angle
cbc_ca,cbc.ca,P0,A,public_broadcaster,north_america,batch_3_global_and_western,http://www.cbc.ca/news/world,http://www.cbc.ca/news/world,high quality public broadcaster
cbsnews_com,cbsnews.com,P0,A,global_major_media,north_america,batch_3_global_and_western,http://www.cbsnews.com/world/,http://www.cbsnews.com/world/,strong general international coverage
channelnewsasia_com,channelnewsasia.com,P0,A,regional_major_media,asia,batch_2_asia_middle_east,http://www.channelnewsasia.com/latest-news,http://www.channelnewsasia.com/latest-news,excellent Southeast Asia and China coverage
chinatimes_com,chinatimes.com,P1,B,national_major_media,asia,batch_5_asia_expansion,https://www.chinatimes.com/realtimenews/,https://www.chinatimes.com/realtimenews/,important Taiwan source
csmonitor_com,csmonitor.com,P1,B,global_major_media,global,batch_6_global_expansion,https://www.csmonitor.com/World,http://www.csmonitor.com/The-Culture/Faith-Religion,use domain but replace weak section URL
dawnnews_tv,dawnnews.tv,P0,A,national_major_media,south_asia,batch_3_global_and_western,https://www.dawnnews.tv/pakistan,https://www.dawnnews.tv/pakistan,important Pakistan source
detik_com,detik.com,P1,B,national_major_media,asia,batch_5_asia_expansion,https://news.detik.com/,https://news.detik.com/,major Indonesia source
detiknews_com,detik.com,P1,B,national_major_media,asia,batch_5_asia_expansion,https://news.detik.com/berita,https://news.detik.com/berita,major Indonesia news section
