review_rank,domain,source_name,country,region,source_type,ownership_type,geo_alignment,political_leaning,credibility_tier,label_confidence,review_status,article_count_snapshot,evidence_url,evidence_note,missing_fields,review_priority,proposed_ownership_type,proposed_geo_alignment,proposed_political_leaning,proposed_credibility_tier,proposed_label_confidence,proposed_review_status,evidence_url_1,evidence_url_2,review_note,reviewer,reviewed_at
1,bangkokbiznews.com,Bangkok Biz News,Thailand,asia,national_major_media,private,global_south,unknown,unknown,low,needs_review,26905,http://www.bangkokbiznews.com,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label; review_import: ownership_round2: Nation Group commercial media ownership; bias and factuality still lack exact third-party rating; secondary_evidence=https://en.wikipedia.org/wiki/Nation_Group; reviewer=codex; reviewed_at=2026-06-26,"political_leaning,credibility_tier,review_status",P0,,,,,,,,,,,
2,businesstimes.com.sg,The Business Times,Singapore,asia,business_media,private,global_south,center,unknown,medium,reviewed,26622,https://www.allsides.com/news-source/business-times-media-bias,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label; review_import: rating_round2: AllSides rates The Business Times Center; ownership_round2: SPH Media owns The Business Times; secondary_evidence=https://en.wikipedia.org/wiki/SPH_Media; reviewer=codex; reviewed_at=2026-06-26,credibility_tier,P0,,,,,,,,,,,
3,zaobao.com,Lianhe Zaobao,Singapore,asia,regional_major_media,private,global_south,unknown,unknown,low,needs_review,26200,http://www.zaobao.com,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label; review_import: ownership_round2: SPH Media owns Lianhe Zaobao; bias and factuality still lack exact third-party rating; secondary_evidence=https://en.wikipedia.org/wiki/SPH_Media; reviewer=codex; reviewed_at=2026-06-26,"political_leaning,credibility_tier,review_status",P0,,,,,,,,,,,
4,haberturk.com,Haberturk,Turkey,middle_east,national_major_media,private,middle_east,unknown,unknown,low,needs_review,25156,https://www.haberturk.com,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label; review_import: ownership_round2: Media Ownership Monitor records Ciner ownership; bias and factuality still need current exact rating after ownership change reports; secondary_evidence=https://turkey.mom-rsf.org/en/owners/companies/detail/company//ciner-group-1/; reviewer=codex; reviewed_at=2026-06-26,"political_leaning,credibility_tier,review_status",P0,,,,,,,,,,,
5,asiaone.com,AsiaOne,Singapore,asia,regional_major_media,private,global_south,unknown,unknown,low,needs_review,18457,http://www.asiaone.com,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label; review_import: ownership_round2: AsiaOne operated as joint venture between mm2 Asia and SPH Media; bias and factuality still lack exact third-party rating; secondary_evidence=https://en.wikipedia.org/wiki/AsiaOne; reviewer=codex; reviewed_at=2026-06-26,"political_leaning,credibility_tier,review_status",P1,,,,,,,,,,,
6,nationthailand.com,The Nation Thailand,Thailand,asia,national_major_media,private,global_south,unknown,unknown,low,needs_review,15436,https://www.nationthailand.com,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label; review_import: ownership_round2: The Nation owned by Nation Group; bias and factuality still lack exact third-party rating; secondary_evidence=https://en.wikipedia.org/wiki/The_Nation_(Thailand); reviewer=codex; reviewed_at=2026-06-26,"political_leaning,credibility_tier,review_status",P1,,,,,,,,,,,
7,eltiempo.com,El Tiempo,Colombia,latin_america,national_major_media,private,global_south,unknown,unknown,low,reviewed,13569,https://ground.news/interest/el-tiempo,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label; review_import: rating_round2: Ground News lists bias and factuality as unknown; ownership_round2: El Tiempo commercial ownership mapped to private; secondary_evidence=https://en.wikipedia.org/wiki/El_Tiempo_(Colombia); reviewer=codex; reviewed_at=2026-06-26,"political_leaning,credibility_tier",P1,,,,,,,,,,,
8,prothomalo.com,Prothom Alo,Bangladesh,south_asia,national_major_media,private,global_south,unknown,unknown,low,needs_review,11468,https://www.prothomalo.com,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label; review_import: ownership_round2: Prothom Alo commercial publisher mapped to private; bias and factuality still lack exact third-party rating; secondary_evidence=https://en.wikipedia.org/wiki/Prothom_Alo; reviewer=codex; reviewed_at=2026-06-26,"political_leaning,credibility_tier,review_status",P1,,,,,,,,,,,
9,phnompenhpost.com,The Phnom Penh Post,Cambodia,asia,national_major_media,private,global_south,unknown,unknown,low,needs_review,8442,http://www.phnompenhpost.com,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label; review_import: ownership_round2: AP reports Post ownership/publisher context; bias and factuality still lack exact third-party rating; secondary_evidence=https://apnews.com/article/8b0abbc3e4c7be382053aff1631b8e74; reviewer=codex; reviewed_at=2026-06-26,"political_leaning,credibility_tier,review_status",P1,,,,,,,,,,,
10,news.thaipbs.or.th,Thai PBS,Thailand,asia,public_broadcaster,public,global_south,unknown,high,medium,needs_review,6544,https://news.thaipbs.or.th,seeded_from_historical_wave1_targets; ownership inferred structurally from source_type=public_broadcaster; structural_review_v1: public broadcaster credibility seed; political leaning requires external rating; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label; review_import: review_round2: kept political unknown; public broadcaster ownership already set; exact third-party bias rating still needed; secondary_evidence=https://en.wikipedia.org/wiki/Thai_Public_Broadcasting_Service; reviewer=codex; reviewed_at=2026-06-26,"political_leaning,review_status",P1,,,,,,,,,,,
